ticket_id,created_at_unix,event_id,perf_date,perf_time,venue,ticket_type,name_type,delivery_method,seller_name,seller_rating,order_num,ticket_tags,first_observed_at,last_observed_at,sold_at,sold_at_source,status,quantity,price,raw_description,details_fetched
sold_scrap-and-chorus-2026_1787045946948_10000,1787045946948,scrap-and-chorus-2026,2026-09-18,18:30,[東京都] THEATER MILANO-Za,pickup_number,female,発券番号共有,kkksssstttt,5.0,,ランダム記載あり,2026-08-18 09:39:06,2026-08-29 19:01:09,,historical_unknown,sold,1,10000,"✳︎スペシャルカーテンコール有

✳︎S席　紙チケット
✳︎チケット代金クレジット支払い済
✳︎引き換え券番号共有
✳︎8/29 10時以降にセブンイレブンご自...",True
zn20y81f29,1787046322069,scrap-and-chorus-2026,2026-09-27,13:00,[東京都] THEATER MILANO-Za,pickup_number,female,引き渡し番号共有,kkksssstttt,5.0,,ランダム記載あり,2026-08-18 09:45:22,2026-08-29 19:01:09,2026-08-28 15:01:13,transition_observed,sold,1,10000,"✳︎東京千秋楽

✳︎S席　紙チケット
✳︎チケット代金クレジット支払い済
✳︎引き換え券番号共有
✳︎8/29 10時以降にセブンイレブンご自身で発券お願いし...",True
sold_scrap-and-chorus-2026_1787058640223_11000,1787058640223,scrap-and-chorus-2026,2026-10-25,13:00,[大阪府] 東京建物 Brillia HALL 箕面 大ホール,pickup_number,female,入金後2日以内に発券番号共有,,,,,2026-08-18 13:10:40,2026-08-29 19:01:09,2026-08-27 07:17:28,,sold,2,11000,"大千穐楽・2枚連番です。
チケットぴあにて初期当選しましたが、重複した為出品します。
発券番号をお伝えしますので、9月5日10時以降ファミリーマートにて発券お願...",False
sold_scrap-and-chorus-2026_1787045772860_10500,1787045772860,scrap-and-chorus-2026,2026-10-25,13:00,[大阪府] 東京建物 Brillia HALL 箕面 大ホール,pickup_number,female,発券番号共有,,,,,2026-08-18 09:36:12,2026-08-29 19:01:09,2026-08-27 07:17:28,,sold,1,10500,"✳︎スペシャルカーテンコール有

✳︎S席　紙チケット
✳︎チケット代金クレジット支払い済
✳︎引き換え券番号共有
✳︎9/5 10時以降にセブンイレブンご自身...",False
sold_ryosuke-yamada-asia-tour-2026-red-y_1787264833320_70000,1787264833320,ryosuke-yamada-asia-tour-2026-red-y,2026-09-13,,[ソウル] Jangchung Arena,paper,female,当日手渡し,,,,,2026-08-20 22:27:13,2026-08-29 19:01:09,2026-08-27 07:17:28,,sold,1,70000,"当日14:00頃待ち合わせの上、当方と本人確認にて当日引き換え・リストバンド譲渡となります。
当方と連番ではございません。
念のために、yes24グローバル登録...",False
sold_ryosuke-yamada-asia-tour-2026-red-y_1787046789881_25000,1787046789881,ryosuke-yamada-asia-tour-2026-red-y,2026-09-13,,[ソウル] Jangchung Arena,paper,female,当日手渡し,,,,,2026-08-18 09:53:09,2026-08-29 19:01:09,2026-08-27 07:17:28,,sold,1,25000,"当日14:00頃待ち合わせの上、当方と本人確認にて当日引き換え・リストバンド譲渡となります。
当方と連番ではございません。
念のために、yes24グローバル登録...",False
sold_ryosuke-yamada-asia-tour-2026-red-y_1781196364622_100000,1781196364622,ryosuke-yamada-asia-tour-2026-red-y,2026-09-13,,[ソウル] Jangchung Arena,electronic,female,公演前に名義変更,,,,,2026-06-11 16:46:04,2026-08-29 19:01:09,2026-08-27 07:17:28,,sold,1,100000,,False
r90jx5r4jn,1787205153051,scrap-and-chorus-2026,2026-09-18,18:30,[東京都] THEATER MILANO-Za,paper,female,当日手渡し,th1202,5.0,,番手,2026-08-20 05:52:33,2026-08-29 19:01:09,,,listing,2,12045,"2名義中2番手2連
スペシャルカテコ公演/最速先行/2名義ともS席にて当選/2名義ともクレジットカード決済済み/
・購入される際はプライベートリンクでの出品に切...",True
aktk7lgmtn,1787256768117,scrap-and-chorus-2026,2026-09-19,17:30,[東京都] THEATER MILANO-Za,pickup_number,female,入金後2日以内に発券番号共有,yellow,5.0,,,2026-08-20 20:12:48,2026-08-29 19:01:09,,,listing,2,11000,"ぴあ先行当選。
チケットは2026年8月29日 10:00よりセブン-イレブンにて発券お願い致します。",True
wuyo8f7tko,1787067932867,scrap-and-chorus-2026,2026-09-26,13:00,[東京都] THEATER MILANO-Za,pickup_number,female,入金後2日以内に発券番号共有,み,5.0,,,2026-08-18 15:45:32,2026-08-29 09:01:18,,,deleted,1,12000,"S席　単番　ぴあにて当選
公演中止の場合のみ返金いたします。",True
jadzy94ya0,1787068041602,scrap-and-chorus-2026,2026-09-26,17:30,[東京都] THEATER MILANO-Za,pickup_number,female,入金後2日以内に発券番号共有,み,5.0,,,2026-08-18 15:47:21,2026-08-29 09:01:18,,,deleted,1,12000,"S席　単番　ぴあにて当選
公演中止の場合のみ返金いたします。
",True
19ai18ylhm,1787098021642,scrap-and-chorus-2026,2026-09-27,13:00,[東京都] THEATER MILANO-Za,paper,female,郵送,k,5.0,,,2026-08-19 00:07:01,2026-08-29 19:01:09,,,listing,1,10000,,True
qlvm7pmfax,1787107725508,scrap-and-chorus-2026,2026-09-27,13:00,[東京都] THEATER MILANO-Za,paper,female,公演日7日前までに郵送or手渡し,♩,5.0,,,2026-08-19 02:48:45,2026-08-29 04:01:17,,,deleted,1,50000,"12名義中2番手すり替えなし。
単番当選、最速先行、S席のみ。
発券後こちらで12枚の中から1枚選択した後に残り11枚の中からお選びいただきます。
発券開始日(...",True
v9rf1w74i4,1787107806554,scrap-and-chorus-2026,2026-09-27,13:00,[東京都] THEATER MILANO-Za,paper,female,公演日7日前までに郵送or郵送,♩,5.0,,,2026-08-19 02:50:06,2026-08-29 04:01:17,,,deleted,1,45000,"12名義中3番手すり替えなし。
単番当選、最速先行、S席のみ。
発券後こちらで12枚の中から座席選択した後に残り10枚の中からお選びいただきます。(2番手も掲載...",True
hie6qbk03q,1787107596122,scrap-and-chorus-2026,2026-10-23,18:30,[大阪府] 東京建物 Brillia HALL 箕面 大ホール,paper,female,公演日7日前までに郵送or手渡し,♩,5.0,,,2026-08-19 02:46:36,2026-08-29 19:01:09,,,listing,1,45000,"10名義中3番手すり替えなし。
単番当選、最速先行、S席のみ。
発券後こちらで10枚の中から座席選択した後に残り8枚の中からお選びいただきます。(2番手も掲載し...",True
l93t608vtn,1787107490438,scrap-and-chorus-2026,2026-10-23,18:30,[大阪府] 東京建物 Brillia HALL 箕面 大ホール,paper,female,公演日7日前までに郵送もしくは手渡し,♩,5.0,,,2026-08-19 02:44:50,2026-08-29 19:01:09,,,listing,1,50000,"10名義中2番手すり替えなし。
単番当選、最速先行、S席のみ。
発券後こちらで10枚の中から1枚選択した後に残り9枚の中からお選びいただきます。
発券開始日(9...",True
h9h352jnll,1787197361005,scrap-and-chorus-2026,2026-10-24,13:00,[大阪府] 東京建物 Brillia HALL 箕面 大ホール,paper,female,当日手渡し,ゆ,5.0,,,2026-08-20 03:42:41,2026-08-29 19:01:09,,,listing,1,10000,当日手渡しさせて頂きます,True
yftcyzfwa0,1787197428960,scrap-and-chorus-2026,2026-10-24,17:30,[大阪府] 東京建物 Brillia HALL 箕面 大ホール,paper,female,当日手渡し,ゆ,5.0,,,2026-08-20 03:43:48,2026-08-29 19:01:09,,,listing,1,10000,当日手渡しさせて頂きます,True
psbb87rfpj,1787310239837,scrap-and-chorus-2026,2026-10-25,13:00,[大阪府] 東京建物 Brillia HALL 箕面 大ホール,paper,female,当日手渡し,MM,5.0,,番手,2026-08-21 11:03:59,2026-08-29 19:01:09,,,listing,1,12500,"2名義中2番手 お譲りします。
発券番号下4桁お伝え可能です。

トラブル防止のため20歳以上日本語でのやり取りが可能な方に限ります。
中止以外、買い手様自身の...",True
tz9yh4v636,1787107973616,scrap-and-chorus-2026,2026-10-25,13:00,[大阪府] 東京建物 Brillia HALL 箕面 大ホール,paper,female,公演日7日前までに郵送or郵送,♩,5.0,,,2026-08-19 02:52:53,2026-08-29 19:01:09,,,listing,1,60000,"9名義中2番手すり替えなし。
単番当選、最速先行、S席のみ。
発券後こちらで9枚の中から1枚選択した後に残り8枚の中からお選びいただきます。
発券開始日(8/2...",True
fs1mob04p2,1787108060295,scrap-and-chorus-2026,2026-10-25,13:00,[大阪府] 東京建物 Brillia HALL 箕面 大ホール,paper,female,公演日7日前までに郵送もしくは郵送,♩,5.0,,,2026-08-19 02:54:20,2026-08-29 19:01:09,,,listing,1,50000,"9名義中3番手すり替えなし。
単番当選、最速先行、S席のみ。
発券後こちらで9枚の中から座席選択した後に残り7枚の中からお選びいただきます。(2番手も掲載してま...",True
yz7oxu3eep,1787968726136,scrap-and-chorus-2026,2026-09-18,18:30,[東京都] THEATER MILANO-Za,paper,female,都内手渡し or 郵送対応,RARA,5.0,,,2026-08-29 01:58:46,2026-08-29 04:01:17,,,deleted,1,12000,,True
6hm2knrw81,1787968840742,scrap-and-chorus-2026,2026-09-27,13:00,[東京都] THEATER MILANO-Za,paper,female,都内手渡し or 郵送対応,RARA,5.0,,,2026-08-29 02:00:40,2026-08-29 06:01:15,,,deleted,1,10000,,True
q469gy8ny9,1787046140526,scrap-and-chorus-2026,2026-10-23,18:30,[大阪府] 東京建物 Brillia HALL 箕面 大ホール,pickup_number,female,引き換え券番号共有,kkksssstttt,5.0,,ランダム記載あり,2026-08-18 09:42:20,2026-08-29 19:01:09,,,listing,1,25000,"✳︎スペシャルカーテンコール有

✳︎S席　紙チケット
✳︎チケット代金クレジット支払い済
✳︎引き換え券番号共有
✳︎9/5 10時以降にセブンイレブンご自身...",True
91e1is04hj,1781665825957,ryosuke-yamada-asia-tour-2026-red-y,2026-09-06,,[台北] TAIPEI MUSIC CENTER,paper,female,当日手渡し,ゆ,5.0,,,2026-06-17 03:10:25,2026-08-29 19:01:09,,,listing,2,0,"2階最前、センターより。
8/31まで掲載。
座席権利のみ、当日事前手渡し。公演中止以外返金不可。",True
lyzy8cip0q,1785567508550,ryosuke-yamada-asia-tour-2026-red-y,2026-09-06,,[台北] TAIPEI MUSIC CENTER,paper,female,当日手渡し,kk,5.0,,,2026-08-01 06:58:28,2026-08-29 19:01:09,,,listing,1,30000,"整列権利のみ。
ご自身の名義で本確を受けたら手渡しとなります。
公演中止以外返金不可。
",True
wsz7522ohv,1787004081040,ryosuke-yamada-asia-tour-2026-red-y,2026-09-13,,[ソウル] Jangchung Arena,paper,female,当日手渡し,はち,5.0,,,2026-08-17 22:01:21,2026-08-29 19:01:09,,,listing,1,80000,当日引き換え後にリストバンド毎譲渡,True
9eo5r0jxga,1787003990033,ryosuke-yamada-asia-tour-2026-red-y,2026-09-13,,[ソウル] Jangchung Arena,paper,female,当日手渡し,はち,5.0,,,2026-08-17 21:59:50,2026-08-29 19:01:09,,,listing,1,60000,"当日引き換え後リストバンド毎譲渡もしくは名義変更
取得不可な場合はご返金いたします。",True
