year_month,event_id,perf_date,perf_time,venue,total_tickets,active_tickets,sold_tickets,deleted_tickets,avg_price,min_price,max_price
2026-08,hakucho-to-komori-movie-greeting,2026-09-03,18:30,丸の内ピカデリー (東京都),12,8,2,2,58333.333333333336,0,195000
2026-08,hakuchotokomori-aisatsu,2026-09-04,11:50,丸の内ピカデリー (東京都),15,11,2,2,51333.26666666667,10000,150000
2026-08,hakuchotokomori-aisatsu,2026-09-04,15:00,丸の内ピカデリー (東京都),17,14,1,2,55000.0,0,250000
2026-08,milesixtones-2026,2026-09-18,17:30,味の素スタジアム,2,2,0,0,36500.0,35000,38000
2026-08,milesixtones-2026,2026-09-19,17:30,味の素スタジアム,195,126,50,19,26566.40512820513,0,62048
2026-08,milesixtones-2026,2026-09-20,17:30,味の素スタジアム,131,96,31,4,25549.885496183208,0,55000
2026-08,milesixtones-2026,2026-11-07,17:00,ヤンマースタジアム長居,25,21,3,1,30674.64,12000,80000
2026-08,milesixtones-2026,2026-11-08,17:00,ヤンマースタジアム長居,35,28,4,3,27857.114285714284,10000,60000
2026-08,milesixtones-2026,2026-11-21,16:30,日産スタジアム,50,47,2,1,26748.0,0,60000
2026-08,milesixtones-2026,2026-11-22,16:30,日産スタジアム,79,74,5,0,28974.683544303796,0,82000
