year_month,event_id,perf_date,perf_time,venue,total_tickets,active_tickets,current_active_tickets,current_avg_price,current_min_price,current_max_price,sold_tickets,deleted_tickets,avg_price,min_price,max_price
2026-09,hakucho-to-komori-movie-greeting,2026-09-03,18:30,丸の内ピカデリー (東京都),4,0,0,0.0,0,0,2,2,41500.0,17000,100000
2026-09,hakucho-to-komori-stage-greeting,2026-09-22,09:10,新宿ピカデリー,14,12,0,0.0,0,0,0,2,28524.35714285714,0,72500
2026-09,hakucho-to-komori-stage-greeting,2026-09-22,13:40,新宿ピカデリー,17,14,0,0.0,0,0,0,3,23441.117647058825,0,89999
2026-09,hakuchotokomori-aisatsu,2026-09-04,11:50,丸の内ピカデリー (東京都),16,1,0,0.0,0,0,5,10,36312.5,12000,153000
2026-09,hakuchotokomori-aisatsu,2026-09-04,15:00,丸の内ピカデリー (東京都),3,0,0,0.0,0,0,2,1,37000.0,7000,56000
2026-09,milesixtones-2026,2026-09-19,17:30,味の素スタジアム,109,32,0,0.0,0,0,63,14,25481.19266055046,0,70000
2026-09,milesixtones-2026,2026-09-20,17:30,味の素スタジアム,47,24,0,0.0,0,0,20,3,22223.72340425532,0,45000
2026-09,milesixtones-2026,2026-11-07,17:00,ヤンマースタジアム長居,73,70,60,40772.41379310345,21800,70000,2,1,38401.3698630137,0,70000
2026-09,milesixtones-2026,2026-11-08,17:00,ヤンマースタジアム長居,114,107,96,38923.89247311828,300,65000,7,0,35773.70175438596,0,65000
2026-09,milesixtones-2026,2026-11-21,16:30,日産スタジアム,103,101,87,41299.69512195122,18500,95000,1,1,37497.912621359224,0,95000
2026-09,milesixtones-2026,2026-11-22,16:30,日産スタジアム,237,226,211,41354.08457711443,300,95000,9,2,38607.49367088608,0,95000
