year_month,event_id,perf_date,perf_time,venue,total_tickets,active_tickets,current_active_tickets,current_avg_price,current_min_price,current_max_price,sold_tickets,deleted_tickets,avg_price,min_price,max_price
2026-09,movie-matching-true-love-stage-greeting,2026-09-25,11:40,ユナイテッド・シネマアクアシティお台場,36,33,0,0.0,0,0,0,3,14413.888888888889,2000,88000
2026-09,movie-matching-true-love-stage-greeting,2026-09-25,14:50,ユナイテッド・シネマアクアシティお台場y,52,49,0,0.0,0,0,0,3,8914.923076923076,0,90000
2026-09,movie-matching-true-love-stage-greeting,2026-09-25,15:25,TOHOシネマズ六本木ヒルズ,43,42,0,0.0,0,0,0,1,15093.39534883721,0,100000
2026-09,movie-matching-true-love-stage-greeting,2026-09-25,18:40,TOHOシネマズ六本木ヒルズ,39,34,0,0.0,0,0,0,5,12751.28205128205,0,50000
2026-09,snowman-dome-tour-2026-2027-all-suite,2026-10-30,17:00,[北海道] 大和ハウス プレミストドーム（札幌ドーム）,638,589,204,17082.85,1500,60000,0,49,20009.401253918495,0,80000
2026-09,snowman-dome-tour-2026-2027-all-suite,2026-10-31,17:00,[北海道] 大和ハウス プレミストドーム（札幌ドーム）,329,306,99,19798.340425531915,4000,70000,0,23,20900.908814589664,0,70000
2026-09,snowman-dome-tour-2026-2027-all-suite,2026-11-01,15:00,[北海道] 大和ハウス プレミストドーム（札幌ドーム）,366,338,110,20686.091743119265,2000,50000,0,28,21338.8087431694,0,50000
2026-09,snowman-dome-tour-2026-2027-all-suite,2026-11-26,17:00,[愛知県] バンテリンドーム ナゴヤ,152,144,55,53497.735849056604,25000,90000,0,8,51870.13157894737,0,95000
2026-09,snowman-dome-tour-2026-2027-all-suite,2026-11-27,17:00,[愛知県] バンテリンドーム ナゴヤ,206,198,76,52016.89189189189,23000,100000,0,8,50726.69417475728,0,100000
2026-09,snowman-dome-tour-2026-2027-all-suite,2026-11-28,17:00,[愛知県] バンテリンドーム ナゴヤ,90,80,28,59277.74074074074,31000,100000,0,10,61738.85555555556,0,600000
2026-09,snowman-dome-tour-2026-2027-all-suite,2026-11-29,15:00,[愛知県] バンテリンドーム ナゴヤ,142,140,56,51257.40740740741,28000,85000,0,2,48121.126760563384,0,85000
2026-09,snowman-dome-tour-2026-2027-all-suite,2026-12-04,17:00,[福岡県] みずほPayPayドーム福岡,124,110,40,40974.35897435898,24000,75000,0,14,39520.16129032258,0,85000
2026-09,snowman-dome-tour-2026-2027-all-suite,2026-12-05,17:00,[福岡県] みずほPayPayドーム福岡,73,69,26,46153.846153846156,25000,100000,0,4,46054.79452054795,0,100000
2026-09,snowman-dome-tour-2026-2027-all-suite,2026-12-06,16:00,[福岡県] みずほPayPayドーム福岡,158,153,58,51543.85964912281,25500,100000,0,5,50829.11392405063,0,100000
2026-09,snowman-dome-tour-2026-2027-all-suite,2026-12-23,17:00,東京ドーム,105,102,39,61680.555555555555,25000,120000,0,3,58447.619047619046,0,120000
2026-09,snowman-dome-tour-2026-2027-all-suite,2026-12-24,17:00,東京ドーム,181,173,63,64603.032258064515,33000,200000,0,8,64152.839779005524,0,200000
2026-09,snowman-dome-tour-2026-2027-all-suite,2026-12-25,17:00,東京ドーム,165,150,52,71819.23076923077,30000,150000,0,15,68550.30303030302,0,150000
2026-09,snowman-dome-tour-2026-2027-all-suite,2026-12-26,16:00,東京ドーム,157,146,51,57380.0,27000,100000,0,11,56332.484076433124,0,110000
2026-09,snowman-dome-tour-2026-2027-all-suite,2027-01-04,17:00,京セラドーム大阪,73,68,26,67304.26086956522,40000,100000,0,5,57697.04109589041,0,100000
2026-09,snowman-dome-tour-2026-2027-all-suite,2027-01-05,17:00,京セラドーム大阪,85,78,32,55310.34482758621,35000,79000,0,7,51235.294117647056,0,90000
2026-09,snowman-dome-tour-2026-2027-all-suite,2027-01-06,17:00,京セラドーム大阪,182,178,73,54017.79452054795,25000,100000,0,4,54797.543956043955,25000,100000
2026-09,snowman-dome-tour-2026-2027-all-suite,2027-01-07,16:00,京セラドーム大阪,363,333,122,64641.666666666664,29000,250000,0,30,62094.76584022039,0,250000
2026-09,yakusoku-no-hate,2026-09-28,,[東京都] 東京国際フォーラム ホールA,82,79,38,15781.054054054053,5000,60000,3,0,16852.414634146342,0,60000
2026-09,yakusoku-no-hate,2026-09-29,13:00,[東京都] 東京国際フォーラム ホールA,41,41,18,11766.666666666666,5000,30000,0,0,12375.609756097561,5000,30000
2026-09,yakusoku-no-hate,2026-09-29,18:00,[東京都] 東京国際フォーラム ホールA,133,131,64,15740.96875,3900,90000,1,1,15976.766917293233,3900,90000
