ticket_id,created_at_unix,event_id,perf_date,perf_time,venue,ticket_type,name_type,delivery_method,seller_name,seller_rating,order_num,ticket_tags,first_observed_at,last_observed_at,sold_at,sold_at_source,status,quantity,price,raw_description,details_fetched,year_month
sold_acees-arena-tour-v_1784738241156_40000,1784738241156,acees-arena-tour-v,2026-08-29,12:30,Asueアリーナ大阪,electronic,female,同行,ぴ,5.0,,番手,2026-07-22 16:37:21,2026-08-28 16:01:17,2026-08-27 11:01:15,,sold,1,40000,"座席未定／3名義中2番手同行／すべて有効期間内該当名義ボタンあり／すり替えなし下3桁提示可 

3名義ともACEes該当名義・指定席・初期当選・有効期限内ボタン...",True,2026-07
sold_acees-arena-tour-v_1784267800478_48000,1784267800478,acees-arena-tour-v,2026-08-29,12:30,Asueアリーナ大阪,electronic,female,公演前日QRコード共有,,,,,2026-07-17 05:56:40,2026-08-28 16:01:17,2026-08-27 07:17:28,,sold,2,48000,"QRごと/情報局先行 /該当名義/初期当選/下3桁提示可能/有効期限内/同行者登録可能（前日）
公演前日にログインに必要な会員番号とパスワードをお伝え致します。...",False,2026-07
sold_acees-arena-tour-v_1784706000358_42000,1784706000358,acees-arena-tour-v,2026-08-29,12:30,Asueアリーナ大阪,electronic,female,公演前日にQRコード情報共有,,,,,2026-07-22 07:40:00,2026-08-28 16:01:17,2026-08-27 07:17:28,,sold,2,42000,"QR毎/初期当選/該当(浮所)/変更ボタンあり/有効期限内/下3桁提示可能
同行者登録はご自身でお願いいたします。
",False,2026-07
sold_acees-arena-tour-v_1784638290922_18500,1784638290922,acees-arena-tour-v,2026-08-29,12:30,Asueアリーナ大阪,electronic,none,同行,,,,,2026-07-21 12:51:30,2026-08-28 16:01:17,2026-08-27 07:17:28,,sold,2,18500,"公演当日、開場40分前に会場付近にて待ち合わせし、同時入場していただきます。
詳しい待ち合わせ時間や場所等は、前日夜または当日朝に連ボードでお知らせします。
同...",False,2026-07
sold_acees-arena-tour-v_1783998042648_12000,1783998042648,acees-arena-tour-v,2026-08-29,12:30,Asueアリーナ大阪,electronic,none,ランダム配布,,,,,2026-07-14 03:00:42,2026-08-28 16:01:17,2026-08-27 07:17:28,,sold,1,12000,"❤️大阪全公演まとめて可 中相場買取可❤️
購入後に必ず電話番号を送信してください
同時入場後、当方が座席選択後にお譲りするチケットをランダムにてお渡し致します...",False,2026-07
sold_acees-arena-tour-v_1783493132930_18000,1783493132930,acees-arena-tour-v,2026-08-29,12:30,Asueアリーナ大阪,electronic,none,ランダム配布,,,,,2026-07-08 06:45:32,2026-08-28 16:01:17,2026-08-27 07:17:28,,sold,2,18000,"❤️連番でのお渡し❤️
同時入場後、当方が座席選択後にお譲りするチケットをランダムにてお渡し致します。
※当日、開場時間(開演時間ではございませんのでご注意くだ...",False,2026-07
sold_acees-arena-tour-v_1785298745905_0,1785298745905,acees-arena-tour-v,2026-08-29,12:30,Asueアリーナ大阪,electronic,female,同行,,,,,2026-07-29 04:19:05,2026-08-28 16:01:17,2026-08-27 07:17:28,,sold,1,0,"当方と同行／初期当選/該当名義/変更ボタン有/すり替えなし/下3桁提示可／ペイジー決済

開場時間までにお待ち合せ後、同時入場となります。
当方が選ばなかった連...",False,2026-07
uriacwp39d,1784877966883,acees-arena-tour-v,2026-08-29,12:30,Asueアリーナ大阪,electronic,none,同行,ひだ,4.7,,ランダム記載あり,2026-07-24 07:26:06,2026-08-28 16:01:17,,,listing,2,40000,"8名義中6番手

※必ずご確認お願いいたします

・同時入場後、一度チケットを回収し解散させていただきます。こちらが選ばなかった8名義中6番手のチケットをお渡し...",True,2026-07
sold_acees-arena-tour-v_1784288088297_13000,1784288088297,acees-arena-tour-v,2026-08-29,12:30,Asueアリーナ大阪,electronic,female,同行,,,,,2026-07-17 11:34:48,2026-08-28 16:01:17,2026-08-27 07:17:28,,sold,1,13000,"複数名義所持 
ランダム配布　

・公演当日開場30分ほど前に会場付近で待ち合わせし、当方と同時入場していただきます。入場後、一度チケットを回収し、座席選択後チ...",False,2026-07
sold_acees-arena-tour-v_1784038875429_53000,1784038875429,acees-arena-tour-v,2026-08-29,12:30,Asueアリーナ大阪,electronic,female,QRコード共有,,,,,2026-07-14 14:21:15,2026-08-28 16:01:17,2026-08-27 07:17:28,,sold,2,53000,"QRごと 情報局先行 ACEes 浮所名義 初期当選 重複すり替え無し 下3桁提示可能 有効期限内 Pay-easyにて入金済み 複数当選無し

公演前日にログ...",False,2026-07
