ticket_id,created_at_unix,event_id,perf_date,perf_time,venue,ticket_type,name_type,delivery_method,seller_name,seller_rating,order_num,ticket_tags,first_observed_at,last_observed_at,sold_at,sold_at_source,status,quantity,price,raw_description,details_fetched,year_month
eq5230vs84,1788223605380,jumpdate,2026-10-10,17:30,横浜アリーナ,electronic,female,公演日7日前までにQRコード共有,a,5.0,,QR,2026-09-01 00:46:45,2026-09-01 04:01:11,,,listing,2,80000,"QR毎のお譲りになります
すり替えなし/有効期限内/発送物戻り無/下3桁提示可/初期当選/着ブロなし

・公演日前日にログイン情報をお伝えいたします。入場後は速...",True,2026-09
ice39y8wu2,1788222245665,jumpdate,2026-10-11,13:00,横浜アリーナ,electronic,female,同行,きょ,5.0,,ランダム同行,2026-09-01 00:24:05,2026-09-01 04:01:11,,,listing,1,35000,"同時入場、ランダムにてお譲り
有効期限内、同一クレカ決済なし
当日指定の場所に11:45集合となります。遅刻された場合先に入場させていただきますが、チケット受け...",True,2026-09
xt2o2jxupb,1788221069808,jumpdate,2026-10-11,17:30,横浜アリーナ,electronic,female,公演前日の夜にQRコード共有,R,5.0,,QR,2026-09-01 00:04:29,2026-09-01 04:01:11,,,listing,2,65000,"QRごと/初期当選/有効期限内/ 下3桁提示可/すり替えなし/着ブロ指定なし/戻りなし/過去エラーなし（初当選）

公演前夜に、同行者の同意チェックを済ませた上...",True,2026-09
lrfaagpfx4,1788224360267,jumpdate,2026-10-12,17:30,横浜アリーナ,electronic,female,同行,ma,5.0,,番手,2026-09-01 00:59:20,2026-09-01 04:01:11,,,listing,2,45000,"【チケット詳細】
FC先行／2名義中2番手／すり替えなし／下3桁提示可能／有効期限内／該当名義／全て支払い方法別／過去エラーなし／本人確認不可

【お取引につい...",True,2026-09
b5b1iy2wqw,1788227771027,jumpdate,2026-10-10,17:30,横浜アリーナ,electronic,female,公演前日にログイン情報お渡し,R,5.0,,QR,2026-09-01 01:56:11,2026-09-01 04:01:11,,,listing,2,85000,"10/10 初日 QR毎 2連　

過去エラーなし/有効期限内/発送物戻り無/変更ボタン有/下3桁提示可/初期当選/会員更新済/両女性名義/着ブロなし

過去の...",True,2026-09
aqrxcpreqo,1788225447151,jumpdate,2026-10-11,13:00,横浜アリーナ,electronic,female,公演前日にログイン情報共有,R,5.0,,QR,2026-09-01 01:17:27,2026-09-01 04:01:11,,,listing,2,55000,"QRごと/有効期限内/ 下3桁提示可
公演前夜に、同行者の同意チェックを済ませた上で、ログイン情報をメッセージにてお知らせいたします。
名義人の同意チェックにつ...",True,2026-09
9cl8vxome7,1788224617853,jumpdate,2026-10-11,17:30,横浜アリーナ,electronic,female,公演日前日までにQRコード共有,みぃ,5.0,,QR,2026-09-01 01:03:37,2026-09-01 04:01:11,,,listing,1,70000,"QRごとのお譲りになります。
初期当選/すり替えなし/重複なし/発送物戻りなし/有効期限内/下3桁提示可/コンビニ決済

公演日前日に、入場に必要なログイン情報...",True,2026-09
id57krulr2,1788230810747,jumpdate,2026-10-10,17:30,横浜アリーナ,electronic,female,公演前日QRコード共有,こぴ,5.0,,QR,2026-09-01 02:46:50,2026-09-01 04:01:11,,,listing,2,0,"重複すり替えなし　QR毎のお譲り
初期当選/下3桁開示可能/着ブロ無し/有効期限内

トラブル防止のため代理購入不可

日本語理解可能な成人の女性のみお取引お願...",True,2026-09
7686wctxzi,1788228745745,jumpdate,2026-10-11,13:00,横浜アリーナ,electronic,female,同行,きい,5.0,,同行,2026-09-01 02:12:25,2026-09-01 04:01:11,,,listing,1,65000,"座席未定 初期当選 有効期限内 重複なし 2連中1枚 同行

集合時間は開演45分〜1時間前を予定しております。集合時間に遅れた際には、如何なる場合も先に入場い...",True,2026-09
vewuvap5st,1788229329856,jumpdate,2026-10-12,13:00,横浜アリーナ,electronic,female,公演日前日にQRコード共有,こぴ,5.0,,QR,2026-09-01 02:22:09,2026-09-01 04:01:11,,,deleted,2,0,"重複すり替えなし　QR毎のお譲り
初期当選/下3桁開示可能/着ブロ無し/有効期限内
トラブル防止のため代理購入不可
日本語理解可能な成人の女性のみお取引お願い致します。
公演前になりましたらログイン情報をご連絡致します。
入場後、即ログアウトのご対応と開演前までに受取の連絡お願い致します。
座席へのクレーム、ランダムエラー、本人確認、体調不良等その他いかなる理由でも返金対応は致しません。公演中止の場合のみサイト規約に基づき返金となります。",True,2026-09
