ticket_id,created_at_unix,event_id,perf_date,perf_time,venue,status,price,quantity,delivery_method,ticket_type,name_type,raw_description,first_observed_at,last_observed_at,sold_at,details_fetched,year_month
sold_key-to-lit-arena-tour-2026-neo-classics_1780250499118_23000,1780250499118,key-to-lit-arena-tour-2026-neo-classics,2026-10-03,18:00,マリンメッセ福岡 A館,sold,23000,1,同行,electronic,female,"2名義中2番手/該当/すり替えなし/本人確認対応不可/下三桁提示可能/初期当選/有効期限内/サイチェン可

・当日は開場10分前に会場付近にて待ち合わせの上、同...",2026-05-31 18:01:39,2026-08-27 07:17:28,2026-08-27 07:17:28,False,2026-05
sold_key-to-lit-arena-tour-2026-neo-classics_1780026766866_30000,1780026766866,key-to-lit-arena-tour-2026-neo-classics,2026-10-03,18:00,マリンメッセ福岡 A館,sold,30000,2,公演日2日前までにQRコード共有,electronic,female,"QRごと/該当名義変更ボタン有り/初期当選/有効期限内/すり替えなし重複なし下3桁提示可/着ブロ希望なし/クレカ以外決済

ご購入後、下3桁をお伝えします。
公...",2026-05-29 03:52:46,2026-08-27 07:17:28,2026-08-27 07:17:28,False,2026-05
sold_key-to-lit-arena-tour-2026-neo-classics_1780022423974_15000,1780022423974,key-to-lit-arena-tour-2026-neo-classics,2026-10-03,18:00,マリンメッセ福岡 A館,sold,15000,2,前日までにログイン情報共有,electronic,female,"値下げ可。即1.5/枚
初期当選/QR毎/すり替えなし/下3桁提示可能/該当

公演日前日にログイン情報を共有致します。同行者登録はご購入者様自身でお願い致しま...",2026-05-29 02:40:23,2026-08-27 07:17:28,2026-08-27 07:17:28,False,2026-05
sold_key-to-lit-arena-tour-2026-neo-classics_1780023600280_15000,1780023600280,key-to-lit-arena-tour-2026-neo-classics,2026-10-03,18:00,マリンメッセ福岡 A館,sold,15000,2,公演前日までにログイン情報共有,electronic,female,"値下げ可。即1.5/枚
初期当選/QR毎/すり替えなし/下3桁提示可能/該当

公演日前日にログイン情報を共有致します。同行者登録はご購入者様自身でお願い致しま...",2026-05-29 03:00:00,2026-08-27 07:17:28,2026-08-27 07:17:28,False,2026-05
sold_key-to-lit-arena-tour-2026-neo-classics_1780028301109_15000,1780028301109,key-to-lit-arena-tour-2026-neo-classics,2026-10-03,18:00,マリンメッセ福岡 A館,sold,15000,2,少数ランダム,electronic,female,"公演当日、開場15分前に会場付近にて待ち合わせ、同時入場して頂きます。
お連れ様と別れて入場していただく場合がございますが、連番でご購入された際には必ず連番のチ...",2026-05-29 04:18:21,2026-08-27 07:17:28,2026-08-27 07:17:28,False,2026-05
oxujkhuj9v,1780047638370,key-to-lit-arena-tour-2026-neo-classics,2026-10-03,18:00,マリンメッセ福岡 A館,listing,45000,2,同行,electronic,female,"5名義中3番手/初期当選/有効期限内/すり替えなし/下3桁提示可/着ブロ希望なし/座席未定

5名義中3番手

ご購入の方はプラベル出品いたしますのでお声がけ下...",2026-05-29 09:40:38,2026-08-27 07:17:28,,False,2026-05
611vf1vf87,1780047582824,key-to-lit-arena-tour-2026-neo-classics,2026-10-03,18:00,マリンメッセ福岡 A館,listing,37000,2,同行,electronic,female,"5名義中4番手/初期当選/有効期限内/すり替えなし/下3桁提示可/着ブロ希望なし/座席未定

5名義中4番手

ご購入の方はプラベル出品いたしますのでお声がけ下...",2026-05-29 09:39:42,2026-08-27 07:17:28,,False,2026-05
sold_key-to-lit-arena-tour-2026-neo-classics_1780028540951_28000,1780028540951,key-to-lit-arena-tour-2026-neo-classics,2026-10-03,18:00,マリンメッセ福岡 A館,sold,28000,2,公演日1日前までにログイン情報をお伝えいたします。,electronic,female,"QRごと/該当名義/変更ボタンあり/初期当選/有効期限内/下3桁提示可能/発送物戻りなし/すりかえなし/着ブロ希望なし/Pay-easy決済

・公演前日までに...",2026-05-29 04:22:20,2026-08-27 07:17:28,2026-08-27 07:17:28,False,2026-05
sold_key-to-lit-arena-tour-2026-neo-classics_1780072859440_5800,1780072859440,key-to-lit-arena-tour-2026-neo-classics,2026-10-03,18:00,マリンメッセ福岡 A館,sold,5800,1,同行,electronic,female,"座席未定 ランダム配布 条件あり 座席選択不可 代理購入不可 

 ランダム配布になりますので最後までご理解いただきご購入ください。  

・複数名義所持してお...",2026-05-29 16:40:59,2026-08-27 07:17:28,2026-08-27 07:17:28,False,2026-05
sold_key-to-lit-arena-tour-2026-neo-classics_1780029816294_7500,1780029816294,key-to-lit-arena-tour-2026-neo-classics,2026-10-03,18:00,マリンメッセ福岡 A館,sold,7500,2,指定席のみランダム配布,electronic,female,"ランダム配布ご理解いただける方のみご購入お願いします。初めての方も最後まで丁寧に対応いたします。

5名義以内での入場になります。
開場~30分前に会場付近に集...",2026-05-29 04:43:36,2026-08-27 07:17:28,2026-08-27 07:17:28,False,2026-05
