ticket_id,created_at_unix,event_id,perf_date,perf_time,venue,ticket_type,name_type,delivery_method,seller_name,seller_rating,order_num,ticket_tags,first_observed_at,last_observed_at,sold_at,status,quantity,price,raw_description,details_fetched,year_month
sold_key-to-lit-arena-tour-2026-neo-classics_1781021921263_35000,1781021921263,key-to-lit-arena-tour-2026-neo-classics,2026-10-03,18:00,マリンメッセ福岡 A館,electronic,female,同行,,,,,2026-06-09 16:18:41,2026-08-27 09:01:06,2026-08-27 07:17:28,sold,1,35000,"2連中1枚/本人確認可/初期当選/有効期限内/重複すり替えなし/下三桁提示可/佐々木担不可
当方(20↑/佐々木担)との同行です。
ご本人様の情報で同行者登録を...",False,2026-06
sold_key-to-lit-arena-tour-2026-neo-classics_1781963467984_25853,1781963467984,key-to-lit-arena-tour-2026-neo-classics,2026-10-03,18:00,マリンメッセ福岡 A館,electronic,female,公演前日に情報提示,,,,,2026-06-20 13:51:07,2026-08-27 09:01:06,2026-08-27 07:17:28,sold,2,25853,"天候や交通の乱れ、体調不良、ランダムエラーその他如何なる場合での返金対応不可。公演中止の場合は手数料を差し引いた金額を返金いたします。
双方同意済み",False,2026-06
sold_key-to-lit-arena-tour-2026-neo-classics_1781680765336_9000,1781680765336,key-to-lit-arena-tour-2026-neo-classics,2026-10-03,18:00,マリンメッセ福岡 A館,electronic,female,同行,,,,,2026-06-17 07:19:25,2026-08-27 09:01:06,2026-08-27 07:17:28,sold,2,9000,"同時入場後、一旦回収させて頂きランダムに配布させて頂きます。座席選択はできませんのでご了承ください。
またランダム配布の為下3桁をお伝えすることはできませんご了...",False,2026-06
sold_key-to-lit-arena-tour-2026-neo-classics_1780316824018_18000,1780316824018,key-to-lit-arena-tour-2026-neo-classics,2026-10-03,18:00,マリンメッセ福岡 A館,electronic,female,同行,,,,,2026-06-01 12:27:04,2026-08-27 09:01:06,2026-08-27 07:17:28,sold,2,18000,"2名義中2番手/該当/すり替えなし/本人確認対応不可/下三桁提示可能/初期当選/有効期限内/サイチェン可

・当日は開場10分前に会場付近にて待ち合わせの上、同...",False,2026-06
sold_key-to-lit-arena-tour-2026-neo-classics_1781520651256_6000,1781520651256,key-to-lit-arena-tour-2026-neo-classics,2026-10-03,18:00,マリンメッセ福岡 A館,electronic,female,6名義中6番手,,,,,2026-06-15 10:50:51,2026-08-27 09:01:06,2026-08-27 07:17:28,sold,2,6000,情報局先行 座席未定/6名義中6番手/該当のみ/有効期限内/変更ボタン有/会員番号下3桁提示可/5/29当選発表分5名義復活当選1名義の計6名義/公演中止時のみ...,False,2026-06
sold_key-to-lit-arena-tour-2026-neo-classics_1781842052725_10000,1781842052725,key-to-lit-arena-tour-2026-neo-classics,2026-10-03,18:00,マリンメッセ福岡 A館,electronic,female,当日,,,,,2026-06-19 04:07:32,2026-08-27 09:01:06,2026-08-27 07:17:28,sold,2,10000,"2名義中2番手/初期当選/該当名義/着ブロ無/下3桁提示可能

公演中止以外の返金不可（ランエラ、遅刻、トラブルなど全て）",False,2026-06
sold_key-to-lit-arena-tour-2026-neo-classics_1780361058041_3102,1780361058041,key-to-lit-arena-tour-2026-neo-classics,2026-10-03,18:00,マリンメッセ福岡 A館,electronic,female,同行,,,,,2026-06-02 00:44:18,2026-08-27 09:01:06,2026-08-27 07:17:28,sold,1,3102,"3名義中2番手 1枚 1.0
アプリ通し（3000）+当日手渡し分（7000）
すり替えなし/下三桁提示可能/該当･非該当含む

当日は所定の場所にて集合した後...",False,2026-06
5s07pxecfg,1782378430091,key-to-lit-arena-tour-2026-neo-classics,2026-10-03,18:00,マリンメッセ福岡 A館,electronic,female,同行,ゆ,5.0,,番手,2026-06-25 09:07:10,2026-08-27 09:01:06,,listing,2,40000,"2名義中2番手　即5
両方とも該当(変ボあり)/初期当選/下3桁提示可/有効会員
開場時間の30分前までに会場付近でお集まりいただき、同時入場いたします。
遅刻された場合先に入場する場合もございますが、その場合も受け取り通知して頂きますので予めご了承ください。
開場時間頃に会場付近で待ち合わせ致します。
座席の選択はできません。
チケットお渡しまでお時間いただく場合がございますがすり替えなしです。下3桁提示可能です
ランダムエラーなど公演中止以外はいかなる場合も返金対応不可です。",True,2026-06
sold_key-to-lit-arena-tour-2026-neo-classics_1782021690420_40000,1782021690420,key-to-lit-arena-tour-2026-neo-classics,2026-10-03,18:00,マリンメッセ福岡 A館,electronic,female,公演日前日夜までにログイン情報共有,,,,,2026-06-21 06:01:30,2026-08-27 09:01:06,2026-08-27 07:17:28,sold,2,40000,"QRごと/すり替え重複なし/該当/有効期限内/下3桁提示/同行者登録可

公演前日にログイン情報お伝えします。


公演中止時のみ返金します。
体調不良やランダ...",False,2026-06
sold_key-to-lit-arena-tour-2026-neo-classics_1780451944381_10000,1780451944381,key-to-lit-arena-tour-2026-neo-classics,2026-10-03,18:00,マリンメッセ福岡 A館,electronic,female,同行,,,,,2026-06-03 01:59:04,2026-08-27 09:01:06,2026-08-27 07:17:28,sold,2,10000,"3名義中3番手  
該当名義、下3桁提示可能",False,2026-06
sold_key-to-lit-arena-tour-2026-neo-classics_1781600822413_14000,1781600822413,key-to-lit-arena-tour-2026-neo-classics,2026-10-03,18:00,マリンメッセ福岡 A館,electronic,female,6名義中4番手,,,,,2026-06-16 09:07:02,2026-08-27 09:01:06,2026-08-27 07:17:28,sold,2,14000,情報局先行 座席未定/6名義中4番手/該当のみ/有効期限内/変更ボタン有/会員番号下3桁提示可/5/29当選発表分5名義復活当選1名義の計6名義/公演中止時のみ...,False,2026-06
sold_key-to-lit-arena-tour-2026-neo-classics_1781248728416_25000,1781248728416,key-to-lit-arena-tour-2026-neo-classics,2026-10-03,18:00,マリンメッセ福岡 A館,electronic,female,公演日1日前までにQRコード共有,,,,,2026-06-12 07:18:48,2026-08-27 09:01:06,2026-08-27 07:17:28,sold,2,25000,"QRごと/初期当選/有効期限内/下3桁提示可能/すりかえなし
・当選時該当名義ですが、公演日までに非該当へ変更予定あります。
・公演日前日までにログインに必要な...",False,2026-06
