ticket_id,created_at_unix,event_id,perf_date,perf_time,venue,ticket_type,name_type,delivery_method,seller_name,seller_rating,order_num,ticket_tags,first_observed_at,first_observed_source,last_observed_at,sold_at,sold_at_source,status,quantity,price,raw_description,details_fetched,year_month
x5om7qbxpl,1788285431622,key-to-lit-arena-tour-2026-neo-classics,2026-10-03,18:00,マリンメッセ福岡 A館,electronic,female,同行,m,4.7,,番手,2026-09-01 17:57:11,,2026-09-01 19:01:24,,,deleted,2,35000,"2名義中2番手
初期当選/該当名義/有効期限内/変更ボタン有/すり替えなし/下３桁提示可
指定したお時間に集合し、同時入場をしていただきます。遅刻された場合はお待ちせず先に入場する場合がありますので、お時間厳守でお願いいたします。
入場の際、QRの表示にご協力いただく場合がございます。入場後チケットを回収し座席確認後、2番手でのお渡しとなります。
公演中止の場合は手数料をお引きした金額を返金させていただきますが、それ以外(購入後のキャンセル、本人確認、ランダムエラー等)の中止以外を理由とする返金はいたしかねます。
質問がある場合はご購入前にお願いいたします。
ご購入いただいた場合は上記全てに同意したとみなします。",True,2026-09
kxeerbdlww,1788266855104,key-to-lit-arena-tour-2026-neo-classics,2026-10-04,12:30,マリンメッセ福岡 A館,paper,female,当日手渡し,り,5.0,,同行,2026-09-01 12:47:35,,2026-09-04 18:01:17,2026-09-02 16:01:17,transition_observed,sold,1,36000,"・一般注釈指定席の同行を探しております。
・当日開場10分前を目処に会場付近に集合し同時入場して頂きます。詳しい集合時間や場所は当日朝までに連絡ボードにてご連絡...",True,2026-09
0t34x6wpu3,1788305899519,key-to-lit-arena-tour-2026-neo-classics,2026-10-09,18:00,セキスイハイムスーパーアリーナ,electronic,female,QR毎,に,5.0,,QR,2026-09-01 23:38:19,,2026-09-04 18:01:17,2026-09-02 14:01:17,transition_observed,sold,2,53000,"QR毎/初期当選/該当名義/変更ボタンあり/有効期限内/着ブロ希望なし/すり替えなし/下3桁提示可

QR毎2連
公演前日にログイン情報をお伝えします。
入場後...",True,2026-09
9chdd0j0gz,1788311937057,key-to-lit-arena-tour-2026-neo-classics,2026-10-04,17:30,マリンメッセ福岡 A館,pickup_number,female,払込票番号のお知らせ,も,4.9,,,2026-09-02 01:18:57,,2026-09-03 14:01:18,2026-09-03 01:01:14,transition_observed,sold,1,5000,"立見。一般販売分。
別途チケット代金のお支払いが必要です。払込票番号をお伝えしますのでセブンイレブンにてチケット代金のお支払いをお願いします。同時にチケットが発...",True,2026-09
bxlsfqw8f5,1788311730457,key-to-lit-arena-tour-2026-neo-classics,2026-10-09,18:00,セキスイハイムスーパーアリーナ,pickup_number,female,入金確認後振込票番号共有,朱織,5.0,,,2026-09-02 01:15:30,,2026-09-02 03:01:14,,,deleted,2,12000,"一般注意指定席2名券、振込票番号毎のお譲り
コンビニにて定価手数料(18825円)の支払い必須
発券後速やかに入場報告お願いいたします。
注意
プライベート出品に変更するため、一言ご連絡ください
公式から返金対応があった場合のみ返金対応可",True,2026-09
1nhugql2hp,1788314230019,key-to-lit-arena-tour-2026-neo-classics,2026-10-09,18:00,セキスイハイムスーパーアリーナ,pickup_number,female,入金確認次第払込番号お伝え,M,5.0,,,2026-09-02 01:57:10,,2026-09-02 14:01:17,,,deleted,1,8000,"一般立見指定。
別途定価+手数料をセブンにて支払い、セブンにて発券できましたら速やかに受け取り評価（入場通知）をお願いします。
購入希望のかたコメントください。...",True,2026-09
j01lmw4t05,1788337007587,key-to-lit-arena-tour-2026-neo-classics,2026-10-04,17:30,マリンメッセ福岡 A館,paper,female,入金後24時間以内に郵送又は大阪にて事前手渡し,ぴょん,5.0,,,2026-09-02 08:16:47,,2026-09-02 10:01:14,,,deleted,1,22000,"一般 立見指定 1名券
支払い、発券済。",True,2026-09
xm3cqk0sa6,1788245155676,key-to-lit-arena-tour-2026-neo-classics,2026-10-04,17:30,マリンメッセ福岡 A館,electronic,female,公演日前日QRコード共有,a,5.0,,QR,2026-09-01 06:45:55,,2026-09-04 18:01:17,2026-09-03 18:01:14,transition_observed,sold,2,48000,"QRごと/初期当選/非該当名義/有効期限内/下3桁提示可/すり替えなし

公演前日にログイン情報を連絡ボードでお伝えします。
入場後は速やかにログアウトし、開演...",True,2026-09
96ds3xnffo,1788354658772,key-to-lit-arena-tour-2026-neo-classics,2026-10-09,18:00,セキスイハイムスーパーアリーナ,pickup_number,female,入金確認次第払込番号お伝え,M,5.0,,,2026-09-02 13:10:58,,2026-09-03 06:01:18,,,deleted,1,5000,"一般立見指定1名券
払込番号でのお譲り。
セブンにて別途定価+手数料の支払い、セブンにて発券できましたら速やかに受け取り評価（入場通知）をお願いします。
購入希...",True,2026-09
g33pmpxvrz,1788408410844,key-to-lit-arena-tour-2026-neo-classics,2026-10-03,18:00,マリンメッセ福岡 A館,electronic,female,同行,あめ,5.0,,同行QR,2026-09-03 04:06:50,,2026-09-03 14:01:18,,,deleted,1,40000,"該当名義/有効期限内/変更ボタン有/すり替えなし/下3桁提示可/井上担不可

当日指定した時間に集合し、同時入場をしていただきます。
事前に電話番号をお伺いする...",True,2026-09
