ticket_id,created_at_unix,event_id,perf_date,perf_time,venue,ticket_type,name_type,delivery_method,seller_name,seller_rating,order_num,ticket_tags,first_observed_at,last_observed_at,sold_at,status,quantity,price,raw_description,details_fetched,year_month
mxy5rg5rax,1787662231548,milesixtones-2026,2026-09-18,17:30,味の素スタジアム,electronic,female,同行,h,5.0,,QR番手,2026-08-25 12:50:31,2026-08-27 13:01:15,,listing,2,38000,"2名義中2番手  1-2枚
お気軽にお声掛けください。
初期当選/アリツ落選名義/女性名義/すり替えなし/有効期限内／座席未定／下3桁提示可
⭐️必ずお読みください
当日は会場付近で集合し、同時入場していただきます。
入場後一度チケットを回収し、当方が座席選択後2番手をお渡しします。
座席確認の為少しお時間頂きますが、開演20分前には必ずお渡しします。
チケットをお渡ししたタイミングで受取評価をして頂きますので、必ずその時点でご対応頂くようお願い致します。
座席に関するクレームは一切受け付けませんのでご了承ください。
集合時間等につきましては公演日前日にご連絡します。
遅刻、ランダムエラー等、いかなる場合でも返金致しかねます。その際、必ず受け取り評価をしていただきます。
公演中止の場合に限り、手数料を引いた金額を返金致します。
トラブル防止のため代理購入はお控えください。
以上、全てご了承いただける日本人の方のみご購入お願いいたします。",True,2026-08
jxdis6uq55,1786975172058,milesixtones-2026,2026-09-19,17:30,味の素スタジアム,electronic,female,3名義中2番手,な,5.0,,番手,2026-08-17 13:59:32,2026-08-27 13:01:15,,listing,1,30000,"3名義中2番手 （2連中1枚）
全て初期当選/有効期限内/下3桁提示可
（3名義中：FC×FC 2名義、FC×非該当 1名義 FC全てアリツア落選名義）
・当日は会場付近の指定場所に時間厳守で集合していただきます。詳細につきましては、日程が近づきましたらお伝えします。
・2連でご購入の場合、お連れ様とは別れて入場していただく可能性がございますが、チケットは必ず連番でお渡し致します。
・全員で同時入場し、1度こちらで全てのチケットを回収し座席確認させていただいた後、チケットをお渡しします。
・主催者側のからの公演中止以外（体調不良、出演者の変更、遅刻、エラー、本人確認等）いかなる理由でも、返金、キャンセルは致しかねますのでご理解お願いいたします。
・座席に関するクレームは一切受け付けておりません。
・入場時のランダムエラーや本人確認等で入場ができなかった際の補償は致しかねます。
・持ち逃げ防止のため、入場の際に一時的に身分証をお預かりさせて頂く場合がございますが、入場後チケットと引き換えにてお返しさせて頂きます。
・当日の連絡を円滑に行うため、事前にお電話番号をお伺いいたします。
・当日、QRコードを表示する為に端末をお借りする場合がございますので、その際はご協力お願いいたします。
・受け取り連絡はチケットお渡し後、速やかにお願いします。
上記の内容にご承知いただき、ご購入お願いいたします。
（プライベート出品可能。他サイトにも出品している為、ご所望でしたらお早めにメッセージお願いいたします）",True,2026-08
sold_milesixtones-2026_1786712100107_10000,1786712100107,milesixtones-2026,2026-09-19,17:30,味の素スタジアム,electronic,female,連絡ボードにて,,,,,2026-08-14 12:55:00,2026-08-27 13:01:15,2026-08-27 05:10:56,sold,1,10000,"【座席未定】
チケットを複数所持しております。同時入場後にチケットを一旦回収し、開演5~10分前を目処に再集合の上チケットをお渡しさせていただきます。座席につい...",False,2026-08
v2jl4m4o51,1787659231085,milesixtones-2026,2026-09-19,17:30,味の素スタジアム,electronic,female,同行,むんたん,5.0,,同行ランダム,2026-08-25 12:00:31,2026-08-27 13:01:15,,listing,2,35000,"SixTONES FC先行 ランダム配布
公演当日、会場付近にて待ち合わせし、同時入場していただきます。
遅刻をされた場合、待たずに先に入場する場合もございます。その場合も受け取りしていただきます。
集合時間を厳守できる方のみご購入ください。
詳しい集合場所、時間は公演の前日にメッセージボードにお送りします。
購入後、公演前日までに当日連絡のつく携帯電話の番号をメッセージボードにお送りください。
会場の電波状況に応じて直接電話させていただく場合がございます。
入場後は一度解散し、お座席の準備が出来次第お渡しいたします。
座席の選択権利は一切ございません。
開演の10〜5分前までにはお渡しいたします。
早渡し希望の場合は購入前にコメントお願いいたします。
入場の際は同行者様と分かれて入場していただきます。
必ず日本語の理解できる日本人女性がご購入ください。
代理購入不可。録音、録画等名義に傷がつくような行為をされる方は購入しないでください。
購入後は、ランダムエラーや取引方法に関する解釈不一致、購入者様の体調不良等いかなる場合も返金対応は行いません。
キャンセルは一切受け付けません。必ず受け取りしていただきます。
公演中止の場合のみ手数料を差し引いた金額を返金いたします。",True,2026-08
sold_milesixtones-2026_1785750481329_34000,1785750481329,milesixtones-2026,2026-09-19,17:30,味の素スタジアム,electronic,female,公演前日にログイン情報提示,,,,,2026-08-03 09:48:01,2026-08-27 13:01:15,2026-08-27 05:10:56,sold,2,34000,"QR毎/初期当選/下3桁提示可能

公演前日に同行者の同意チェックのみ当方で行った後ログイン情報をお伝えします。代表者チェックは買い手様自身でお願い致します。...",False,2026-08
sold_milesixtones-2026_1785607599677_10300,1785607599677,milesixtones-2026,2026-09-19,17:30,味の素スタジアム,electronic,female,連絡ボードにて,,,,,2026-08-01 18:06:39,2026-08-27 13:01:15,2026-08-27 05:10:56,sold,2,10300,"【座席未定】
チケットを複数所持しております。同時入場後にチケットを一旦回収し、開演5~10分前を目処に再集合の上チケットをお渡しさせていただきます。座席につい...",False,2026-08
ob91k9825x,1786012390849,milesixtones-2026,2026-09-19,17:30,味の素スタジアム,electronic,female,同行,s,5.0,,同行,2026-08-06 10:33:10,2026-08-27 13:01:15,,listing,2,22000,"初期当選,3名義中3番手,すり替えなし下3桁提示可能,全て有効期限内名義
プラベにて出品し直す予定ですので購入ご希望の方はメッセージお願いいたします
公演当日開場15分前（予定）に集合して頂きます。詳しい時間.場所等は連絡ボートにてお知らせいたします。
遅刻した場合は先に入場させて頂きますがその際も受取評価をして頂きますので時間厳守でお願いいたします。
入場の際は連番相手の方と別れて入場して頂く場合がございますがチケットは2連番をお渡しいたします。
入場後一旦チケットを回収し解散して頂き当方の座席選択後残りのチケットをお渡しいたします。すり替え等はいたしませんので座席に関するクレームは一切受け付けません。チケットをお渡しした際に受取評価をお願いいたします。解散後サイチェンなどして頂いて構いません。
公演中止以外の如何なる場合の理由でもキャンセル、送金停止、返金対応は致しかねます。
日本語でスムーズに連絡が取れる方のみご購入をお願いいたします。代理購入につきましてもご遠慮ください。
ご購入頂いた場合は上記の全ての内容をご了承頂いたものとみなしますのでよろしくお願いいたします。",True,2026-08
vvu6wfl403,1787766605076,milesixtones-2026,2026-09-19,17:30,味の素スタジアム,electronic,female,同行,とら,5.0,,同行番手,2026-08-26 17:50:05,2026-08-27 13:01:15,,listing,1,46000,"プライベート出品に変更いたします。
【チケット詳細】
2名義中1番手 同行
初期当選 / アリツア落選名義 / 有効期限内名義
重複すり替えなし / 下3桁提示可能
着席ブロック希望なし / 同一クレジットカード決済なし
ジェシー担不可 / 座席交換および中取引（サイドチェンジ・中買い・中売り等）不可
【取引・条件について】
・トラブル防止のため、日本人女性（来場者ご本人様・日本語でこまめに連絡が取れる方）のみご購入ください。代理購入不可
・当日のスムーズな取引のため、事前に当日やり取りのできる電話番号やお名前（仮名可）等のご連絡先をお伺いいたします。
【当日の流れ・鑑賞上の注意】
・当日は開場時間の約30分前（指定の時間・場所）に集合し、当方と同時入場していただきます。
・時間厳守でお願いいたします。遅刻された場合は先に入場いたしますが、その際も受取評価を行っていただきます。
・同時入場後チケットを一度回収し、当方が座席の確認および選択を行います。座席確認のためお時間をいただく場合がございます。
・同行時の連番のうち、当方が選択しなかった座席をお渡しいたします。ご購入者様は連番内の座席をご選択いただけません。
・2名義がアリーナとスタンドなど異なるゲートで表示された場合、もう1名義はQRごと他者へお譲りする可能性がございます。入場に使用するQRにつきましては、ご購入者様にご相談の上、当方にて最終決定いたします。
・再集合後、速やかにその場での受取評価をお願いいたします。
・座席交換および中取引対策のため、チケットは終演後にお渡しいたします。
・転売取締の強化に伴い、お渡ししたチケットを当日以降の公演（他グループを含む全公演）にお持ち込みにならないようお願いいたします。（※黒服等に全回収された事例も見受けられますので、ご自身のトラブル防止のためにも持ち歩かないことを強く推奨いたします。）
・開場中・開演中・終演後問わず、客席内での撮影・録音は禁止です。
・非常時を除き、公演中のスマートフォン操作や、演出上求められていない場面での歌唱等はご遠慮ください。
【注意事項・返金対応】
・座席に関するクレームや、それに伴うキャンセル・返金は一切受け付けません。
・公演中止以外の理由（遅刻、体調不良、購入者都合のキャンセル、ランダムエラー、本人確認対応不可、公共交通機関の遅延等）での返金対応・キャンセルは一切致しかねます。
・入場できなかった場合も受取評価を行っていただきます。また、当方で代替のチケットをご用意することは致しません。
・主催者側による公演中止、かつ公式より返金対応が行われた場合に限り、サイトの手数料等を差し引いた金額をご返金いたします。
上記の内容をすべてご理解・ご了承いただいた方のみ、ご購入をお願いいたします。",True,2026-08
sold_milesixtones-2026_1787539405438_9500,1787539405438,milesixtones-2026,2026-09-19,17:30,味の素スタジアム,electronic,female,座席未定、複数名義所持、ランダム配布,,,,,2026-08-24 02:43:25,2026-08-27 13:01:15,2026-08-27 05:10:56,sold,1,9500,"当日待ち合わせし、同時入場お願いいたします。
複数名義所持しており、
入場後チケットを回収させていただきこちらで座席の選択をさせて頂いた後にランダムでチケットを...",False,2026-08
sold_milesixtones-2026_1785826581389_35000,1785826581389,milesixtones-2026,2026-09-19,17:30,味の素スタジアム,electronic,female,公演前日にログイン情報,,,,,2026-08-04 06:56:21,2026-08-27 13:01:15,2026-08-27 05:10:56,sold,2,35000,"QR毎/初期当選/下3桁提示可能/当選歴なし/アリツア落選名義/有効期限内名義/発送物出戻りなし/着ブロ指定なし

公演前日に同行者の同意チェックのみ当方で行っ...",False,2026-08
