ticket_id,created_at_unix,event_id,perf_date,perf_time,venue,ticket_type,name_type,delivery_method,seller_name,seller_rating,order_num,ticket_tags,first_observed_at,last_observed_at,sold_at,sold_at_source,status,quantity,price,raw_description,details_fetched,year_month
uiqr3p7lnl,1788233028953,hakuchotokomori-aisatsu,2026-09-04,11:50,丸の内ピカデリー (東京都),electronic,female,ぴあ分配,ねね,5.0,,,2026-09-01 03:23:48,2026-09-01 10:01:15,,,deleted,1,38000,"⚠️プライベート出品にいたしますので、ご購入希望の方はコメントお願いいたします。

入金確認後、ぴあにて分配いたします。
キャンセル、返金不可",True,2026-09
7kdpbz9l9w,1788233699245,hakuchotokomori-aisatsu,2026-09-04,11:50,丸の内ピカデリー (東京都),electronic,female,ご入金後分配,h,5.0,,,2026-09-01 03:34:59,2026-09-01 05:03:14,,,deleted,2,45000,"URLにて分配しますのでご自身でコンビニ発券お願いします。
公演中止の場合のみ返金します。",True,2026-09
tuhg2glr35,1788263438262,milesixtones-2026,2026-11-07,17:00,ヤンマースタジアム長居,electronic,none,同行,れ,5.0,,同行番手,2026-09-01 11:50:38,2026-09-01 14:01:18,,,deleted,1,40000,"2名義中1番手同行/松村担不可/下三桁提示可能/着ブロ希望無し/有効期限内/初期当選/すり替えなし/本人確認不可/サイチェン可

・2名義中1番手の同行です。チ...",True,2026-09
sold_milesixtones-2026_1788264224890_20000,1788264224890,milesixtones-2026,2026-09-19,17:30,味の素スタジアム,electronic,female,同行,,,,,2026-09-01 12:03:44,2026-09-04 18:01:17,,historical_unknown,sold,2,20000,"2名義中2番手 すり替えなし 下3桁提示 有効期限内 
同時入場後、当方が選ばなかった席をお渡しします。その際に受取評価お願いします。
座席に関するクレームは一...",False,2026-09
eprbml1cy8,1788269885662,hakucho-to-komori-movie-greeting,2026-09-03,18:30,丸の内ピカデリー (東京都),pickup_number,female,入金後2日以内に発券番号共有,ぴ,5.0,,,2026-09-01 13:38:05,2026-09-02 01:01:11,,,deleted,1,100000,公演中止以外の理由でのキャンセル一切不可です。,True,2026-09
lo801at917,1788274281024,milesixtones-2026,2026-11-08,17:00,ヤンマースタジアム長居,paper,female,公演前日ログ情,ぽ,5.0,,QR,2026-09-01 14:51:21,2026-09-04 18:01:17,2026-09-01 17:01:20,transition_observed,sold,2,40000,"初期当選/アリツア落選名義/下3桁提示可/有効期限内/同行者登録可/発送物戻り無し

公演日前日にログイン情報をお伝えいたします。入場後は、開演前までに受け取り...",True,2026-09
c7mg0w2rlo,1788231434433,milesixtones-2026,2026-09-19,17:30,味の素スタジアム,electronic,female,座席未定、ランダム配布、座席選択不可,N,5.0,,ランダム,2026-09-01 02:57:14,2026-09-04 18:01:17,2026-09-02 10:01:14,transition_observed,sold,1,12000,・重複当選のため同時入場後一旦チケットを回収し当方が座席を選んだ後にチケットをランダムに配布します。座席の選択にお時間いただきますが開演の10分前にはチケットお...,True,2026-09
0yf5oai1tb,1788303252823,milesixtones-2026,2026-09-19,17:30,味の素スタジアム,electronic,female,同行,m,4.9,,同行ランダム,2026-09-01 22:54:12,2026-09-04 18:01:17,2026-09-02 04:01:12,transition_observed,sold,2,12000,"複数名義所持している為同時入場後全てのチケットを回収してこちらで座席を選ばせて頂きます。
QRコードの為当日まで座席は未定です。
詳しい集合場所や時間（15時頃...",True,2026-09
neu686ll42,1788303941369,milesixtones-2026,2026-09-19,17:30,味の素スタジアム,electronic,female,2名義中2番手 重複すり替えなし 有効期限内,JM,5.0,,ランダム記載あり,2026-09-01 23:05:41,2026-09-02 03:01:14,,,deleted,2,20000,"2名義中2番手/すり替えなし/下3桁提示可能/有効期限内

・同時入場し発券後、一旦チケットを回収し先に当方が席を選ばせて頂きます。確認に少しお時間頂く場合がご...",True,2026-09
05zypoq5uq,1788225920158,milesixtones-2026,2026-09-19,17:30,味の素スタジアム,electronic,female,同行,s,5.0,,番手,2026-09-01 01:25:20,2026-09-02 10:01:14,,,deleted,2,32000,"6名義中3番手 

 FC先行 / 下2桁提示可 / すり替えなし / 有効期限内 / 郵送物戻りや過去エラー等なし

〇お取引の流れ
・開場20分前(予定)ま...",True,2026-09
oxkl8oibts,1788274262857,milesixtones-2026,2026-09-19,17:30,味の素スタジアム,electronic,female,同行,𝓗,5.0,,ランダム,2026-09-01 14:51:02,2026-09-04 18:01:17,2026-09-02 07:01:13,transition_observed,sold,1,11000,"少人数ランダム配布

公演当日、開場の約15分前に会場付近にて待ち合わせし、同時入場していただきます。集合場所等は前日までに連絡ボードにてお伝えさせていただきま...",True,2026-09
8r45ljzznz,1788261439988,milesixtones-2026,2026-09-20,17:30,味の素スタジアム,electronic,female,公演前日にログイン情報共有,ygs,5.0,,QR,2026-09-01 11:17:19,2026-09-02 12:01:12,,,deleted,2,25000,"QR毎のお譲りになります。
初期当選/下3桁提示可/重複すり替えなし/有効期限内/着ブロ希望なし

・代理購入不可です
・前日の夜にログイン情報をお伝えします...",True,2026-09
lbeq6m5ikx,1788265073294,milesixtones-2026,2026-09-20,17:30,味の素スタジアム,paper,female,当日手渡し,m,5.0,,QR番手,2026-09-01 12:17:53,2026-09-02 08:01:17,,,deleted,1,23000,"2名義中2番手
プラベルもしくはプライベート出品にしますのでご購入される方はメッセージをお願いいたします
初期当選/2連/すり替えなし/下3桁提示可/有効期限内...",True,2026-09
b331h31kx8,1788277038415,hakuchotokomori-aisatsu,2026-09-04,11:50,丸の内ピカデリー (東京都),pickup_number,female,入金後24時間以内にぴあにて分配,🐥,5.0,,,2026-09-01 15:37:18,2026-09-03 23:01:10,2026-09-02 07:01:13,transition_observed,sold,1,58000,特別出品といたしますので、ご希望の方はコメントをお願いいたします。,True,2026-09
jddhpj4k9s,1788256369542,hakuchotokomori-aisatsu,2026-09-04,11:50,丸の内ピカデリー (東京都),paper,female,当日手渡し,ぴ,5.0,,,2026-09-01 09:52:49,2026-09-03 00:01:24,,,deleted,1,153000,"登壇口予想側です。
ご希望の方は必ずメッセージをお願いします。プラベルに変更可能な場合はお値下げ可。
11:15〜20を目安に最寄駅または会場で手渡しします。...",True,2026-09
ajxbxpgnlr,1788302143049,hakuchotokomori-aisatsu,2026-09-04,11:50,丸の内ピカデリー (東京都),paper,female,当日手渡し,naho,5.0,,同行,2026-09-01 22:35:43,2026-09-02 14:01:17,,,deleted,1,12000,"チケットは11:30頃会場付近にて当日手渡しになります。
当日チケットをお受け取り後は、速やかに受取完了をお願いします。
公演中止以外如何なる理由でも返金キャン...",True,2026-09
6ybx7sqhdg,1788238944321,hakucho-to-komori-movie-greeting,2026-09-03,18:30,丸の内ピカデリー (東京都),paper,none,発券番号でのお譲り,M,5.0,,,2026-09-01 05:02:24,2026-09-02 05:01:19,,,deleted,1,32000,"入金後こちらから発券番号をお送りするので、ご自身で発券していただく形になります。
※公演中止以外如何なる理由でも返金キャンセルはいたしかねます。
座席へのクレー...",True,2026-09
sold_hakuchotokomori-aisatsu_1788355069271_7000,1788355069271,hakuchotokomori-aisatsu,2026-09-04,15:00,丸の内ピカデリー (東京都),paper,female,入金後24時間以内に分配,,,,,2026-09-02 13:17:49,2026-09-04 03:01:08,,historical_unknown,sold,1,7000,お支払い後ぴあ分配にてお譲り致します。,False,2026-09
sold_hakucho-to-komori-movie-greeting_1788361689957_17000,1788361689957,hakucho-to-komori-movie-greeting,2026-09-03,18:30,丸の内ピカデリー (東京都),pickup_number,female,入金確認後ぴあcloakにて分配,em,5.0,,,2026-09-02 15:08:09,2026-09-03 06:01:18,,historical_unknown,sold,1,17000,🎀様専用　公演中止の場合のみ手数料を引いた金額を返金いたします。,True,2026-09
uv1poz607y,1788384824706,hakuchotokomori-aisatsu,2026-09-04,11:50,丸の内ピカデリー (東京都),electronic,female,入金確認後分配URL共有,や,5.0,,,2026-09-02 21:33:44,2026-09-02 23:01:22,,,deleted,1,15000,"プライベート出品に変更いたしますのでご連絡ください。
公演中止以外での返金不可。",True,2026-09
0ua3ufji8x,1788354662038,milesixtones-2026,2026-09-19,17:30,味の素スタジアム,electronic,female,同行,✨,5.0,,同行,2026-09-02 13:11:02,2026-09-03 11:01:19,,,deleted,1,30000,"2連中1枚同行でのお譲りになります。
京本担不可/復活当選/有効期限内/下3桁提示可/重複すり替えなし

公演当日は開場時間の20〜30分前にお集まりいただく予...",True,2026-09
