ticket_id,created_at_unix,event_id,perf_date,perf_time,venue,ticket_type,name_type,delivery_method,seller_name,seller_rating,order_num,ticket_tags,first_observed_at,last_observed_at,sold_at,status,quantity,price,raw_description,details_fetched,year_month
sold_timelesz-live-tour-2026-momentum_1777420865518_38000,1777420865518,timelesz-live-tour-2026-momentum,2026-08-29,17:00,セキスイハイムスーパーアリーナ,electronic,female,座席未定,,,,,2026-04-29 00:01:05,2026-08-27 19:01:09,2026-08-27 07:17:28,sold,2,38000,"FC先行  複数名義所持  有効期限内 座席未定 
複数名義を所持しております。
当日こちらが指定した時間(開場時間20分前、開演80分前予定)に会場付近で待ち...",False,2026-04
sold_timelesz-live-tour-2026-momentum_1776063010713_25000,1776063010713,timelesz-live-tour-2026-momentum,2026-08-29,17:00,セキスイハイムスーパーアリーナ,electronic,female,同行,,,,,2026-04-13 06:50:10,2026-08-27 19:01:09,2026-08-27 07:17:28,sold,1,25000,"当方と同行
初期当選/期限内有効/重複すり替え無し/下3桁提示・サイチェン可

・開場10分前にこちらが指定した場所にて待ち合わせし同時入場します。
・公共交通...",False,2026-04
sold_timelesz-live-tour-2026-momentum_1775636208284_70000,1775636208284,timelesz-live-tour-2026-momentum,2026-08-30,13:00,セキスイハイムスーパーアリーナ,electronic,female,同行,,,,,2026-04-08 08:16:48,2026-08-27 19:01:09,2026-08-27 07:17:28,sold,1,70000,"2連中の1枚同行分/初当選名義(70万代)下3桁提示可能/有効期限内/すり替えなし/Pay-easy支払い/寺西担不可

・集合時間:11:45(開場15分前)...",False,2026-04
sold_timelesz-live-tour-2026-momentum_1775996317615_30000,1775996317615,timelesz-live-tour-2026-momentum,2026-08-30,13:00,セキスイハイムスーパーアリーナ,electronic,none,同行,,,,,2026-04-12 12:18:37,2026-08-27 19:01:09,2026-08-27 07:17:28,sold,2,30000,【指定席(立見なし)の半券お渡し確約:1枚38000円、開演25分前までに指定席の半券お渡し:1枚43000円、入場後15分以内に指定席の半券お渡し:1枚480...,False,2026-04
sold_timelesz-live-tour-2026-momentum_1775988176214_45000,1775988176214,timelesz-live-tour-2026-momentum,2026-08-30,13:00,セキスイハイムスーパーアリーナ,electronic,female,同行,,,,,2026-04-12 10:02:56,2026-08-27 19:01:09,2026-08-27 07:17:28,sold,1,45000,"4名義中2番手/下3桁提示可能/有効期限内/すり替えなし/Pay-easy支払い/発送物戻りなし/ランダムエラー過去なし/サイチェン可能

・篠塚担不可
・開場...",False,2026-04
sold_timelesz-live-tour-2026-momentum_1775748118058_20000,1775748118058,timelesz-live-tour-2026-momentum,2026-08-30,13:00,セキスイハイムスーパーアリーナ,electronic,female,同行,,,,,2026-04-09 15:21:58,2026-08-27 19:01:09,2026-08-27 07:17:28,sold,2,20000,"3名義中3番手 
専用出品いたしますのでメッセージください。


当日の流れ
・開場前に会場付近で待ち合わせを行います。
・詳細はマイページの連絡ボードにてご連...",False,2026-04
jroopwnx3g,1777421806418,timelesz-live-tour-2026-momentum,2026-08-30,17:30,セキスイハイムスーパーアリーナ,electronic,female,座席未定,なー,5.0,,ランダム記載あり,2026-04-29 00:16:46,2026-08-27 19:01:09,,listing,1,45000,"FC先行 すり替えなし 入場後即渡し 下3桁提示可能
前回スタンドor初当選のみ 所持
【ご購入の場合、コメントお願いいたします。プライベート出品に変更いたします。】
複数名義所持しております。
公演当日開場30分前(16:00予定)、開演時間90分前に待ち合わせをいたします。
当日入場後、一旦すべてのチケットを当方が回収いたします。
こちらが選ばなかったチケットを座席確認後すり替えなしで配布いたします。
（入場後10分後程度目安）
必ず集合時間の厳守をお願いします。
遅刻の場合は待たずに先に入場致しますが、その際も受け取り通知は必ずして頂きます。
入場の際携帯端末をお借りしてのQRコード表示にご協力いただく可能性があります。ご了承ください。
座席、席種未定のため、座席へのクレームは一切受け付けません。
ランダムエラー、本人確認による入場不可、交通機関の遅延、遅刻、出演者変更、お取引決定後の買い手様都合のキャンセル、体調不良(濃厚接触者含む)等公演中止以外のいかなる場合でも返金できかねますのでご了承ください。
その場合でも受け取り通知は必ずして頂きます。
公演中止の場合はサイトの規定に基づいて返金いたします。
詳しい待ち合わせ時間・場所等は、ご入金後にマイページの連絡ボードでお知らせします。
上記の内容を必ず全て確認出来ました方のみ、ご購入ください。
ご購入頂いた時点で上記すべてご了承いただいたものとみなします。",True,2026-04
sold_timelesz-live-tour-2026-momentum_1776411581098_28000,1776411581098,timelesz-live-tour-2026-momentum,2026-08-30,17:30,セキスイハイムスーパーアリーナ,electronic,none,同行,,,,,2026-04-17 07:39:41,2026-08-27 19:01:09,2026-08-27 07:17:28,sold,2,28000,"【指定席(立見なし)の半券お渡し確約】
複数名義分のチケットを所持しております。
当日は開場30分前を目安に会場付近でお待ち合わせさせていただきます。ご一緒に入...",False,2026-04
sold_timelesz-live-tour-2026-momentum_1776678217916_68000,1776678217916,timelesz-live-tour-2026-momentum,2026-08-30,17:30,セキスイハイムスーパーアリーナ,electronic,female,公演前日にQRコード共有,,,,,2026-04-20 09:43:37,2026-08-27 19:01:09,2026-08-27 07:17:28,sold,2,68000,"初期当選、QRごと、有効期限内、すり替えなし下3桁提示可、
公演前日連絡ボードにてログイン情報をお伝えします。立見の場合もあります。同行者登録は購入者様でお願い...",False,2026-04
sold_timelesz-live-tour-2026-momentum_1777299900784_58000,1777299900784,timelesz-live-tour-2026-momentum,2026-08-30,17:30,セキスイハイムスーパーアリーナ,electronic,female,同行,,,,,2026-04-27 14:25:00,2026-08-27 19:01:09,2026-08-27 07:17:28,sold,1,58000,"2名義中2番手同行
すり替えなし/下3桁提示可/有効期限内 / 発送物戻りなし/着ブロ希望なし/サイチェン可

当日の流れ
・開場前（10〜20分前を予定）に会...",False,2026-04
sold_timelesz-live-tour-2026-momentum_1776764048279_33000,1776764048279,timelesz-live-tour-2026-momentum,2026-08-30,17:30,セキスイハイムスーパーアリーナ,electronic,none,同行,,,,,2026-04-21 09:34:08,2026-08-27 19:01:09,2026-08-27 07:17:28,sold,2,33000,"【開演25分前までに指定席の半券お渡し】
複数名義分のチケットを所持しております。
当日は開場30分前を目安に会場付近でお待ち合わせさせていただきます。ご一緒に...",False,2026-04
sold_timelesz-live-tour-2026-momentum_1776434128841_70000,1776434128841,timelesz-live-tour-2026-momentum,2026-08-30,17:30,セキスイハイムスーパーアリーナ,electronic,female,公演日前日までにQRコード共有,,,,,2026-04-17 13:55:28,2026-08-27 19:01:09,2026-08-27 07:17:28,sold,1,70000,"QR毎のお譲り⚠️単番です
・初期当選、着ブロ指定なし
・有効期限内(アリーナ、ドーム落選名義)
・重複すり替えなし
・下3桁提示可

公演前日の18時までにロ...",False,2026-04
6xlwvpkpow,1776470495010,timelesz-live-tour-2026-momentum,2026-08-30,17:30,セキスイハイムスーパーアリーナ,electronic,female,同行,ひ,5.0,,同行,2026-04-18 00:01:35,2026-08-27 19:01:09,,listing,1,66000,"篠塚担不可/重複すり替えなし/初期当選/下3桁提示可/期限内/発送物戻りなし/着ブロ指定なし /サイチェン不可
プラベル変更可
プライベート出品にするため、購入希望の方は購入リクエストしそのままお待ちください。
・当日の集合時間は開場～開演30分前頃の予定です(前日までに連絡予定)。
・チケット発券後に受取評価をお願いいたします。座席確認し、当方が選択後に隣席にお座り頂きます。
・座席に対するクレーム、また公演中の撮影・録音などの名義を傷つけるような行為はお控えください。
・体調不良やエラー等、公演中止以外のいかなる理由でのキャンセルも受け取り評価をしていただきますのでご了承ください。
・トラブル防止のため、購入は入場されるご本人様かつ日本人女性のみでお願いします。",True,2026-04
sold_timelesz-live-tour-2026-momentum_1777113737349_100000,1777113737349,timelesz-live-tour-2026-momentum,2026-08-30,17:30,セキスイハイムスーパーアリーナ,electronic,female,すり替えなし同行(本人確認対応可能、3連続スタンド名義),,,,,2026-04-25 10:42:17,2026-08-27 19:01:09,2026-08-27 07:17:28,sold,1,100000,"本人確認対応可能の重複なし同行/初期当選/有効期限内/下3桁提示可能/発送物戻り無し

自名義のため、本人確認対応可能です。同行者登録もご希望であれば行なってい...",False,2026-04
sold_timelesz-live-tour-2026-momentum_1776596973992_20000,1776596973992,timelesz-live-tour-2026-momentum,2026-08-30,17:30,セキスイハイムスーパーアリーナ,electronic,female,同行,,,,,2026-04-19 11:09:33,2026-08-27 19:01:09,2026-08-27 07:17:28,sold,2,20000,"※プライベート出品にするため、購入希望の際はメッセージお願いいたします。


ランダム配布に理解ある方のみご購入ください。

当日は開場約30分前にこちらが指定...",False,2026-04
f53nsmwsxc,1777421316982,timelesz-live-tour-2026-momentum,2026-08-30,17:30,セキスイハイムスーパーアリーナ,electronic,female,座席未定,なー,5.0,,同行記載あり,2026-04-29 00:08:36,2026-08-27 19:01:09,,listing,1,11000,"FC先行  複数名義所持  有効期限内 座席未定
【ご購入の場合、コメントお願いいたします。プライベート出品に変更いたします。】
※ご希望であれば発券後手持ちからの買取など検討します。要相談
複数名義を所持しております。
当日こちらが指定した時間(開場時間30分前、開演90分前予定)に会場付近で待ち合わせし、同時入場していただきます。
いかなる場合も遅刻厳禁、必ず集合時間厳守でお願い致します。
遅刻の際は待たずに先に入場致しますが、その際も受け取り連絡は必ずして頂きます。
チケット発券後、全てのチケットをこちらで回収してから一度解散し、その後再度会場内で集合してからのチケットお渡しとなるためかなりのお時間頂くことをご了承ください。
座席はお選びいただくことはできません。
また、チケットの催促はしないで下さい。
座席未定のため、座席に関するクレームも一切お受け致しません。
開演までには必ずお渡しします。会場内で一旦解散後、再度集合する場所と時間(開演5~10分前目安)は当日までにお伝え致します。
それより早くお渡しできる場合は、お伝え頂いたお電話番号に連絡して集合し、その場でサイト上の受け取り通知と同時にチケットをお渡し致します。
入場の際携帯端末をお借りしてのQRコード表示にご協力いただく可能性があります。ご了承ください。
同行者登録や円滑な連絡のため、お名前(ニックネームでも可)と当日使えるお電話番号をお伝えください。
ランダムエラー、本人確認による入場不可、出演者変更、お取引決定後の買い手様都合のキャンセル、体調不良(濃厚接触者含む)等公演中止以外のいかなる場合でも返金できかねますのでご了承ください。その際も受け取り通知はして頂きます。
公演中止の場合はサイトの規定に基づいて返金いたします。
詳しい待ち合わせ時間・場所等は、ご入金後にマイページの連絡ボードでお知らせします。
上記の内容を必ず全て確認出来ました方のみ、ご購入ください。",True,2026-04
hdpbbqfxre,1777421728012,timelesz-live-tour-2026-momentum,2026-08-30,17:30,セキスイハイムスーパーアリーナ,electronic,female,座席未定,なー,5.0,,ランダム記載あり,2026-04-29 00:15:28,2026-08-27 19:01:09,,listing,2,50000,"FC先行 すり替えなし 入場後即渡し 下3桁提示可能
前回スタンドor初当選のみ 所持
【ご購入の場合、コメントお願いいたします。プライベート出品に変更いたします。】
複数名義所持しております。
公演当日開場30分前(16:00予定)、開演時間90分前に待ち合わせをいたします。
当日入場後、一旦すべてのチケットを当方が回収いたします。
こちらが選ばなかったチケットを座席確認後すり替えなしで配布いたします。
（入場後10-15分後程度目安）
必ず集合時間の厳守をお願いします。
遅刻の場合は待たずに先に入場致しますが、その際も受け取り通知は必ずして頂きます。
入場の際携帯端末をお借りしてのQRコード表示にご協力いただく可能性があります。ご了承ください。
座席、席種未定のため、座席へのクレームは一切受け付けません。
ランダムエラー、本人確認による入場不可、交通機関の遅延、遅刻、出演者変更、お取引決定後の買い手様都合のキャンセル、体調不良(濃厚接触者含む)等公演中止以外のいかなる場合でも返金できかねますのでご了承ください。
その場合でも受け取り通知は必ずして頂きます。
公演中止の場合はサイトの規定に基づいて返金いたします。
詳しい待ち合わせ時間・場所等は、ご入金後にマイページの連絡ボードでお知らせします。
上記の内容を必ず全て確認出来ました方のみ、ご購入ください。",True,2026-04
