ticket_id,created_at_unix,event_id,perf_date,perf_time,venue,status,price,quantity,delivery_method,ticket_type,name_type,raw_description,first_observed_at,last_observed_at,details_fetched,sold_at,year_month
08ladhr7vw,1780715300553,timelesz-live-tour-2026-momentum,2026-08-29,17:00,セキスイハイムスーパーアリーナ,listing,40000,2,同行,electronic,female,"ランダム配布
購入者様には座席選択権はございません。
2枚で購入の場合、必ず連番のお席をお渡しします。
※※※必ず全文お読みになった上でご購入ください、購入後の...",2026-06-06 03:08:20,2026-08-27 07:17:28,False,,2026-06
sold_timelesz-live-tour-2026-momentum_1782013134240_12000,1782013134240,timelesz-live-tour-2026-momentum,2026-08-29,17:00,セキスイハイムスーパーアリーナ,sold,12000,1,セブンイレブンにて支払後発券,pickup_number,female,"一般立見1名券です
払込番号のお伝えになります

別途セブンイレブンにて定価＋手数料の支払が必要です

6/22 23時30分までにセブンイレブンで支払発券が可...",2026-06-21 03:38:54,2026-08-27 07:17:28,False,2026-08-27 07:17:28,2026-06
sold_timelesz-live-tour-2026-momentum_1780577457203_40000,1780577457203,timelesz-live-tour-2026-momentum,2026-08-30,13:00,セキスイハイムスーパーアリーナ,sold,40000,2,同行,electronic,none,"少人数ランダム配布です。すべてFC枠有効期限内、Pay-easy支払い済み

公演当日、開場約15分前に会場付近で待ち合わせし、同時入場していただきます。
詳し...",2026-06-04 12:50:57,2026-08-27 07:17:28,False,2026-08-27 07:17:28,2026-06
sold_timelesz-live-tour-2026-momentum_1780447210386_31500,1780447210386,timelesz-live-tour-2026-momentum,2026-08-30,13:00,セキスイハイムスーパーアリーナ,sold,31500,1,同行,electronic,female,"ランダム配布
購入者様には座席選択権はございません。

※※※必ず全文お読みになった上でご購入ください、購入後のキャンセルは致しかねます※※※

・開場時間の4...",2026-06-03 00:40:10,2026-08-27 07:17:28,False,2026-08-27 07:17:28,2026-06
sold_timelesz-live-tour-2026-momentum_1782839951231_75000,1782839951231,timelesz-live-tour-2026-momentum,2026-08-30,13:00,セキスイハイムスーパーアリーナ,sold,75000,2,公演前日にログイン情報共有,electronic,female,QRごと/2連番/初期当選/Pay-easy決済/買い手の同行者登録可能/有効期限内/着ブロ希望無し/2025落選、初めて当選の名義/重複すり替え無し/下3桁提...,2026-06-30 17:19:11,2026-08-27 07:17:28,False,2026-08-27 07:17:28,2026-06
sold_timelesz-live-tour-2026-momentum_1782747939226_20683,1782747939226,timelesz-live-tour-2026-momentum,2026-08-30,13:00,セキスイハイムスーパーアリーナ,sold,20683,1,3名義中3番手,electronic,female,"当日3.0手渡し。
会場10分前に集合していただきます。

3名義中3番手のため、お席はお選びいただけませんが、ランダムではないのですり替えなしでお渡し致します...",2026-06-29 15:45:39,2026-08-27 07:17:28,False,2026-08-27 07:17:28,2026-06
sold_timelesz-live-tour-2026-momentum_1780715463118_39500,1780715463118,timelesz-live-tour-2026-momentum,2026-08-30,13:00,セキスイハイムスーパーアリーナ,sold,39500,2,同行,electronic,female,"ランダム配布
購入者様には座席選択権はございません。
2枚で購入の場合、必ず連番のお席をお渡しします。
※※※必ず全文お読みになった上でご購入ください、購入後の...",2026-06-06 03:11:03,2026-08-27 07:17:28,False,2026-08-27 07:17:28,2026-06
sold_timelesz-live-tour-2026-momentum_1781083686522_77000,1781083686522,timelesz-live-tour-2026-momentum,2026-08-30,13:00,セキスイハイムスーパーアリーナ,sold,77000,2,公演前日QRコード共有,electronic,female,"QR毎/有効期限内/下3桁提示可  /ドーム落選名義

公演日前日にQRコードの表示に必要な情報をお伝えします。 ご購入者様で同行者登録をお願いします。
 当日...",2026-06-10 09:28:06,2026-08-27 07:17:28,False,2026-08-27 07:17:28,2026-06
sold_timelesz-live-tour-2026-momentum_1781061759057_69000,1781061759057,timelesz-live-tour-2026-momentum,2026-08-30,13:00,セキスイハイムスーパーアリーナ,sold,69000,1,同行,electronic,female,"同行/当方（原担）と同行/初期当選 /有効期限内名義/同行者登録可能/下３桁提示可能/本確対応可

詳しい集合時間、場所等は後日ご連絡いたします。
遅刻した場合...",2026-06-10 03:22:39,2026-08-27 07:17:28,False,2026-08-27 07:17:28,2026-06
sold_timelesz-live-tour-2026-momentum_1781873276788_50000,1781873276788,timelesz-live-tour-2026-momentum,2026-08-30,13:00,セキスイハイムスーパーアリーナ,sold,50000,2,前日にログイン情報提示,electronic,female,"初期当選、Pay-easy決済、下3桁提示可能、着ブロ指定なし、発送物戻りなし

※プライベート出品に変更しますのでコメントお願い致します


以下、必ずお読み...",2026-06-19 12:47:56,2026-08-27 07:17:28,False,2026-08-27 07:17:28,2026-06
