ticket_id,created_at_unix,event_id,perf_date,perf_time,venue,ticket_type,name_type,delivery_method,seller_name,seller_rating,order_num,ticket_tags,first_observed_at,last_observed_at,sold_at,sold_at_source,status,quantity,price,raw_description,details_fetched,year_month
z5ipummss2,1785937229803,timelesz-live-tour-2026-momentum,2026-08-29,17:00,セキスイハイムスーパーアリーナ,paper,female,座席未定,なー,5.0,,同行記載あり,2026-08-05 13:40:29,2026-08-28 14:01:15,,,deleted,1,27000,"FC先行 複数名義所持 有効期限内 座席未定
指定席のみ

【ご購入の場合、コメントお願いいたします。プライベート出品に変更いたします。】

※ご希望であれば上...",True,2026-08
y76f9lax5w,1787481594875,timelesz-live-tour-2026-momentum,2026-08-29,17:00,セキスイハイムスーパーアリーナ,electronic,none,同時入場　開演までにお渡し,あ,4.5,,ランダム,2026-08-23 10:39:54,2026-08-29 08:01:10,2026-08-28 18:01:17,transition_observed,sold,1,23000,"※以下の取引方法の説明・注意事項を必ずご確認ください。
取引方法の説明:
・当日開場30分前に会場付近にて集合を予定しております。詳しい待ち合わせ時間場所等は前...",True,2026-08
55ieocawwt,1787797010418,timelesz-live-tour-2026-momentum,2026-08-29,17:00,セキスイハイムスーパーアリーナ,electronic,female,入金後24時間以内にQRコード共有,,,,,2026-08-27 02:16:50,2026-08-27 09:01:06,,,deleted,2,100000,"QRごと/初期当選/下3桁提示可/同行者登録可/有効期限内/発送物戻り無し/着ブロ希望無し

公演前日の夜までにログイン情報をお伝えいたします。お取引の経験があ...",False,2026-08
sold_timelesz-live-tour-2026-momentum_1785762174646_75000,1785762174646,timelesz-live-tour-2026-momentum,2026-08-29,17:00,セキスイハイムスーパーアリーナ,electronic,female,公演日3日前までにQRコード共有,,,,,2026-08-03 13:02:54,2026-08-29 08:01:10,2026-08-27 07:17:28,,sold,2,75000,交換・条件・同行なしのQRごとのお譲りです。初期当選・有効会員・コンビニ支払い・着ブロ希望なしです。同行者登録は買い手様でお願いします。ご購入後会員番号下３桁連...,False,2026-08
sold_timelesz-live-tour-2026-momentum_1786713843483_65000,1786713843483,timelesz-live-tour-2026-momentum,2026-08-29,17:00,セキスイハイムスーパーアリーナ,electronic,female,公演前日QRコード共有,,,,,2026-08-14 13:24:03,2026-08-29 08:01:10,2026-08-27 07:17:28,,sold,2,65000,"2連QR毎のお譲り
FC初期当選/下3桁提示可

公演前日までにログイン情報をお伝えします。同行者登録は購入者様ご自身で行ってください。

入場後は、必ず開演時...",False,2026-08
cim2rzif4b,1787739301294,timelesz-live-tour-2026-momentum,2026-08-29,17:00,セキスイハイムスーパーアリーナ,electronic,female,同行,し,4.8,,ランダム,2026-08-26 10:15:01,2026-08-29 08:01:10,2026-08-28 16:01:17,transition_observed,sold,1,22000,"【開場】時間の40-30分前までに会場付近で集合し、同時入場します。

入場の際FCサイトを開いて頂くなどご協力いただく場合がございますのでご了承下さい。
詳し...",True,2026-08
sold_timelesz-live-tour-2026-momentum_1787034806280_87000,1787034806280,timelesz-live-tour-2026-momentum,2026-08-29,17:00,セキスイハイムスーパーアリーナ,electronic,female,入金後3時間以内にQRコード共有,,,,,2026-08-18 06:33:26,2026-08-29 08:01:10,2026-08-27 07:17:28,,sold,2,87000,"timelesz FC先行 初期当選 2枚申し込み 指定席 QRごとのお譲り 条件ございません 座
席未定

timelesz FC先行 ２枚申込みでの当選しま...",False,2026-08
sold_timelesz-live-tour-2026-momentum_1787094720891_83000,1787094720891,timelesz-live-tour-2026-momentum,2026-08-29,17:00,セキスイハイムスーパーアリーナ,paper,female,当日手渡し,,,,,2026-08-18 23:12:00,2026-08-29 08:01:10,2026-08-27 07:17:28,,sold,1,83000,"2名義中2番手

初期当選/有効期限内名義/下3桁提示/日本人のみ

同じ列から入場するためログイン情報をお伝えいたしますが、入場後は速やかにログアウトをお願い...",False,2026-08
sold_timelesz-live-tour-2026-momentum_1787482030708_89000,1787482030708,timelesz-live-tour-2026-momentum,2026-08-29,17:00,セキスイハイムスーパーアリーナ,electronic,female,入金後3時間以内にQRコード共有,,,,,2026-08-23 10:47:10,2026-08-29 08:01:10,2026-08-27 07:17:28,,sold,2,89000,"timelesz FC先行 初期当選 2枚申し込み 指定席 QRごとのお譲り 条件ございません 座
席未定

timelesz FC先行 ２枚申込みでの当選
１...",False,2026-08
sold_timelesz-live-tour-2026-momentum_1787110844838_70000,1787110844838,timelesz-live-tour-2026-momentum,2026-08-29,17:00,セキスイハイムスーパーアリーナ,electronic,female,同行,ぴ,5.0,,同行記載あり,2026-08-19 03:40:44,2026-08-29 08:01:10,,historical_unknown,sold,1,70000,"FC先行/2連中の1枚/初期当選/指定席/Pay-easy決済/有効期限内/すり替えなし/下3桁提示可/前回スタンド/松島担不可

発送物戻りなし、サイチェン可...",True,2026-08
sold_timelesz-live-tour-2026-momentum_1787110045632_5500,1787110045632,timelesz-live-tour-2026-momentum,2026-08-29,17:00,セキスイハイムスーパーアリーナ,electronic,none,同行,,,,,2026-08-19 03:27:25,2026-08-29 08:01:10,2026-08-27 07:17:28,,sold,1,5500,"当日手渡し　3.0（30000円）お願いいたします。

指定席のみランダム配布
入場後1度全てのチケットを回収しこちらでお席を選ばせて頂きます。
座席選択の為、...",False,2026-08
9x3k3389vp,1787041507102,timelesz-live-tour-2026-momentum,2026-08-29,17:00,セキスイハイムスーパーアリーナ,electronic,female,1名義のみランダム,ゆ,5.0,,ランダム記載あり,2026-08-18 08:25:07,2026-08-27 17:01:13,,,deleted,1,35000,"⭐️寺西担不可/他名義すべて番手売りのため1名義のみのランダム
公演当日開場30分前（予定）に集合して頂きます。
詳しい時間、場所等は後日ご連絡いたします。
遅刻した場合は先に入場させて頂きますが、その際も受取評価をして頂きますので時間厳守でお願いいたします。
入場後一旦チケットを回収し解散して頂き方の座席選択後残りのチケットをお渡しいたします。座席に関するクレームは一切受け付けません。チケットをお渡しした際に受取評価をお願いいたします。解散後サイチェンなどして頂いて構いません。
公演中止以外の如何なる場合の理由でもキャンセル、送金停止、返金対応は致しかねます。
日本語でスムーズに連絡が取れる方のみご購入をお願いいたします。代理購入につきましてもご遠慮ください。
ご購入頂いた場合は上記の全ての内容をご了承頂いたものとみなしますのでよろしくお願いいたします。",True,2026-08
urdraayf1q,1787659804017,timelesz-live-tour-2026-momentum,2026-08-29,17:00,セキスイハイムスーパーアリーナ,electronic,female,同行,舞花,5.0,,同行ランダム,2026-08-25 12:10:04,2026-08-29 08:01:10,2026-08-27 12:01:08,,sold,1,25000,"ランダム配布に理解ある方のみご購入ください。
当日は開場約30分前.15:30にこちらが指定をした場所へと集合していただきます。
スムーズにお渡しができるよう、購入後にこちらからの連絡を待たず、電話番号のご提示をお願いいたします。
公演中止の場合のみ手数料を差し引いた金額を返金いたします。ランダムエラーや本人確認などによる入場時のトラブルに返金はできませんのでご注意ください。又、購入者様の都合（遅刻や音信不通など）に対しても返金は致しかねます。
10分以上の遅刻は待たずに入場させていただきますが、その場合も受け取り連絡をお願いいたします。
同時入場後、一度チケットを回収し、指定の場所でお待ちいただきます。開演時間までには必ずお渡しさせていただきますので、催促を促すご連絡はお控えください。
チケットのQRコード表示にご協力いただく場合がございます。その場合、一時的に身分証をお預かりする可能性がございますが入場後すぐお返しいたします。
座席確認と選択にお時間いただきます。受け取り後で構いませんので、その場で評価をお願いします。座席に関するクレームは受け付けませんので、ご了承お願いします。
キャリーケースを持っての入場もお控えください。
トラブル防止のため、日本人のみ（男性可能）ご購入お願いいたします。
⚠️個人での返金は一切不可です。エラー不安な方は必ずチケテンの保証をお使いください。",True,2026-08
fzkp87srru,1787550004346,timelesz-live-tour-2026-momentum,2026-08-29,17:00,セキスイハイムスーパーアリーナ,electronic,female,同行,あ,5.0,,QR同行番手ランダム,2026-08-24 05:40:04,2026-08-27 15:01:14,,,deleted,2,0,"QRごとor番手orランダムになります。
金額/年齢記載の上Xの垢にご連絡お願い致します。
@bm71nc",True,2026-08
sold_timelesz-live-tour-2026-momentum_1786979510947_88000,1786979510947,timelesz-live-tour-2026-momentum,2026-08-29,17:00,セキスイハイムスーパーアリーナ,electronic,female,入金後3時間以内にQRコード共有,,,,,2026-08-17 15:11:50,2026-08-29 08:01:10,2026-08-27 07:17:28,,sold,2,88000,"timelesz FC先行 初期当選 2枚申し込み 指定席 QRごとのお譲り 条件ございません 座
席未定

timelesz FC先行 ２枚申込みでの当選
１...",False,2026-08
jeqcb77idy,1787806303092,timelesz-live-tour-2026-momentum,2026-08-29,17:00,セキスイハイムスーパーアリーナ,electronic,female,同行,,,,,2026-08-27 04:51:43,2026-08-29 08:01:10,2026-08-27 09:01:06,,sold,1,50000,"2名義中1番手/2連中の1枚/座席選択はできません/すり替えなし/下桁提示可/初期当選/有効期限内/郵便戻りなし/サイチェン可 /着席ブロック記載なし

公演日...",False,2026-08
