ticket_id,created_at_unix,event_id,perf_date,perf_time,venue,ticket_type,name_type,delivery_method,seller_name,seller_rating,order_num,ticket_tags,first_observed_at,first_observed_source,last_observed_at,sold_at,sold_at_source,status,quantity,price,raw_description,details_fetched,year_month
rcqp24w0sw,,ofuukai-vol4,2026-09-28,18:00,（東京都）SGC HALL ARIAKE,electronic,female,同行,わ,4.9,,ランダム,2026-09-22 12:01:18,,2026-09-23 01:01:12,,,deleted,1,32000,"ランダム配布
端末貸出

・開場時間の20分前までにお集まりください。時間厳守です。場所は前日までにメッセージにてお知らせいたします。
・入場前身分証を一時的に...",True,2026-09
euyl7jkwzv,,ofuukai-vol4,2026-10-05,18:00,（大阪府）グランキューブ大阪 大阪国際会議場,electronic,female,同行,わ,4.9,,ランダム,2026-09-22 12:01:18,,2026-09-23 01:01:12,,,deleted,1,32000,"ランダム配布
端末貸出

・開場時間の20分前までにお集まりください。時間厳守です。場所は前日までにメッセージにてお知らせいたします。
・入場前身分証を一時的に...",True,2026-09
72atibbi6z,,ofuukai-vol4,2026-10-06,18:00,（大阪府）グランキューブ大阪 大阪国際会議場,electronic,female,同行,わ,4.9,,ランダム,2026-09-22 12:01:18,,2026-09-23 01:01:12,,,deleted,1,32000,"ランダム配布
端末貸出

・開場時間の20分前までにお集まりください。時間厳守です。場所は前日までにメッセージにてお知らせいたします。
・入場前身分証を一時的に...",True,2026-09
gvfg4zjjw3,,ofuukai-vol4,2026-09-28,18:00,（東京都）SGC HALL ARIAKE,electronic,female,同行,わ,4.9,,ランダム,2026-09-23 01:01:12,,2026-09-24 01:01:08,,,deleted,1,32000,"ランダム配布
端末貸出

・開場時間の20分前までにお集まりください。時間厳守です。場所は前日までにメッセージにてお知らせいたします。
・入場前身分証を一時的に...",True,2026-09
1wjfd74owm,,ofuukai-vol4,2026-10-05,18:00,（大阪府）グランキューブ大阪 大阪国際会議場,electronic,female,同行,わ,4.9,,ランダム,2026-09-23 01:01:12,,2026-09-24 01:01:08,,,deleted,1,32000,"ランダム配布
端末貸出

・開場時間の20分前までにお集まりください。時間厳守です。場所は前日までにメッセージにてお知らせいたします。
・入場前身分証を一時的に...",True,2026-09
uuythia7r7,,ofuukai-vol4,2026-10-06,18:00,（大阪府）グランキューブ大阪 大阪国際会議場,electronic,female,同行,わ,4.9,,ランダム,2026-09-23 01:01:12,,2026-09-24 01:01:08,,,deleted,1,32000,"ランダム配布
端末貸出

・開場時間の20分前までにお集まりください。時間厳守です。場所は前日までにメッセージにてお知らせいたします。
・入場前身分証を一時的に...",True,2026-09
ggmx7e7kwp,,ofuukai-vol4,2026-09-28,18:00,（東京都）SGC HALL ARIAKE,electronic,female,同行,わ,4.9,,ランダム,2026-09-24 01:01:08,,2026-09-25 00:01:19,,,listing,1,32000,"ランダム配布
端末貸出

・開場時間の20分前までにお集まりください。時間厳守です。場所は前日までにメッセージにてお知らせいたします。
・入場前身分証を一時的に...",True,2026-09
bizrqtsmut,,ofuukai-vol4,2026-10-05,18:00,（大阪府）グランキューブ大阪 大阪国際会議場,electronic,female,同行,わ,4.9,,ランダム,2026-09-24 01:01:08,,2026-09-25 00:01:19,,,listing,1,32000,"ランダム配布
端末貸出

・開場時間の20分前までにお集まりください。時間厳守です。場所は前日までにメッセージにてお知らせいたします。
・入場前身分証を一時的に...",True,2026-09
urgpy4qzzy,,ofuukai-vol4,2026-10-06,18:00,（大阪府）グランキューブ大阪 大阪国際会議場,electronic,female,同行,わ,4.9,,ランダム,2026-09-24 01:01:08,,2026-09-25 00:01:19,,,listing,1,32000,"ランダム配布
端末貸出

・開場時間の20分前までにお集まりください。時間厳守です。場所は前日までにメッセージにてお知らせいたします。
・入場前身分証を一時的に...",True,2026-09
s08jyyu2q1,,ofuukai-vol4,2026-09-28,18:00,（東京都）SGC HALL ARIAKE,electronic,female,同行,わ,4.9,,ランダム,2026-09-25 01:01:12,scrape_observed,2026-09-26 00:01:10,,,listing,1,28500,"ランダム配布
端末貸出

・開場時間の20分前までにお集まりください。時間厳守です。場所は前日までにメッセージにてお知らせいたします。
・入場前身分証を一時的に...",True,2026-09
30gzhzz0jr,,ofuukai-vol4,2026-10-05,18:00,（大阪府）グランキューブ大阪 大阪国際会議場,electronic,female,同行,わ,4.9,,ランダム,2026-09-25 01:01:12,scrape_observed,2026-09-26 00:01:10,,,listing,1,32000,"ランダム配布
端末貸出

・開場時間の20分前までにお集まりください。時間厳守です。場所は前日までにメッセージにてお知らせいたします。
・入場前身分証を一時的に...",True,2026-09
9wjx7w2et9,,ofuukai-vol4,2026-10-06,18:00,（大阪府）グランキューブ大阪 大阪国際会議場,electronic,female,同行,わ,4.9,,ランダム,2026-09-25 01:01:12,scrape_observed,2026-09-26 00:01:10,,,listing,1,32000,"ランダム配布
端末貸出

・開場時間の20分前までにお集まりください。時間厳守です。場所は前日までにメッセージにてお知らせいたします。
・入場前身分証を一時的に...",True,2026-09
x7za3927al,,ofuukai-vol4,2026-09-28,18:00,（東京都）SGC HALL ARIAKE,electronic,female,初期当選、QR毎,J,5.0,,QR,2026-09-25 11:01:14,scrape_observed,2026-09-26 00:01:10,,,listing,1,50000,"購入前に必ずコメントください。
前日or当日に都内で古い端末貸出いたします。その場で連携していただきます。自名義当選ですのでお互いの身分証交換条件でしたら身分証...",True,2026-09
99bfjok30b,,ofuukai-vol4,2026-09-28,18:00,（東京都）SGC HALL ARIAKE,electronic,female,初期当選、QR毎,J,5.0,,QR,2026-09-26 01:01:13,scrape_observed,2026-09-26 17:01:17,,,listing,1,50000,"購入前に必ずコメントください。
前日or当日に都内で古い端末貸出いたします。その場で連携していただきます。自名義当選ですのでお互いの身分証交換条件でしたら身分証...",True,2026-09
t1jgnxivfq,,ofuukai-vol4,2026-09-28,18:00,（東京都）SGC HALL ARIAKE,electronic,female,同行,わ,4.9,,ランダム,2026-09-26 01:01:13,scrape_observed,2026-09-26 17:01:17,,,listing,1,28500,"ランダム配布
端末貸出

・開場時間の20分前までにお集まりください。時間厳守です。場所は前日までにメッセージにてお知らせいたします。
・入場前身分証を一時的に...",True,2026-09
